Chr,Start,End,Strand,ID
Pf3D7_01_v3,264617,266219,+,Pf3D7lncRNA_0030
Pf3D7_01_v3,269747,271921,+,Pf3D7lncRNA_0031
Pf3D7_01_v3,273207,273555,-,Pf3D7lncRNA_0032
Pf3D7_01_v3,285497,286576,-,Pf3D7lncRNA_0033
Pf3D7_01_v3,287008,289754,-,Pf3D7lncRNA_0034
Pf3D7_01_v3,293871,294343,-,Pf3D7lncRNA_0035
Pf3D7_01_v3,302174,302388,-,Pf3D7lncRNA_0036
Pf3D7_01_v3,310751,312527,+,Pf3D7lncRNA_0037
Pf3D7_01_v3,313151,313647,+,Pf3D7lncRNA_0038
Pf3D7_01_v3,332564,334127,-,Pf3D7lncRNA_0039
Pf3D7_01_v3,334492,336092,+,Pf3D7lncRNA_0040
Pf3D7_01_v3,334633,335787,-,Pf3D7lncRNA_0041
Pf3D7_01_v3,360346,362684,-,Pf3D7lncRNA_0042
Pf3D7_01_v3,366744,367253,-,Pf3D7lncRNA_0043
Pf3D7_01_v3,370945,374130,+,Pf3D7lncRNA_0044
Pf3D7_01_v3,377175,377551,+,Pf3D7lncRNA_0045
Pf3D7_01_v3,381523,382511,-,Pf3D7lncRNA_0046
Pf3D7_01_v3,383649,386156,-,Pf3D7lncRNA_0047
Pf3D7_01_v3,404966,405435,-,Pf3D7lncRNA_0048
Pf3D7_01_v3,415726,416995,+,Pf3D7lncRNA_0049
Pf3D7_01_v3,422922,423215,+,Pf3D7lncRNA_0050
Pf3D7_01_v3,428064,430377,+,Pf3D7lncRNA_0051
Pf3D7_01_v3,431695,431935,+,Pf3D7lncRNA_0052
Pf3D7_01_v3,461361,461957,+,Pf3D7lncRNA_0053
Pf3D7_01_v3,462643,463093,-,Pf3D7lncRNA_0054
Pf3D7_01_v3,469762,472065,-,Pf3D7lncRNA_0055
Pf3D7_01_v3,491790,492939,+,Pf3D7lncRNA_0056
Pf3D7_01_v3,518213,519604,-,Pf3D7lncRNA_0057
Pf3D7_01_v3,535147,536471,-,Pf3D7lncRNA_0058
Pf3D7_01_v3,538808,539787,+,Pf3D7lncRNA_0059
Pf3D7_01_v3,540698,541407,+,Pf3D7lncRNA_0060
Pf3D7_01_v3,557748,558875,+,Pf3D7lncRNA_0061
Pf3D7_01_v3,563269,564823,+,Pf3D7lncRNA_0062
Pf3D7_01_v3,584584,585608,+,Pf3D7lncRNA_0063
Pf3D7_01_v3,585740,586863,+,Pf3D7lncRNA_0064
Pf3D7_01_v3,603933,605963,-,Pf3D7lncRNA_0065
Pf3D7_01_v3,606055,606356,-,Pf3D7lncRNA_0066
Pf3D7_01_v3,606448,606799,-,Pf3D7lncRNA_0067
Pf3D7_01_v3,606656,607615,+,Pf3D7lncRNA_0068
Pf3D7_01_v3,608990,609518,+,Pf3D7lncRNA_0069
Pf3D7_02_v3,29005,29656,-,Pf3D7lncRNA_0070
Pf3D7_02_v3,29673,31543,+,Pf3D7lncRNA_0071
Pf3D7_02_v3,31199,31916,-,Pf3D7lncRNA_0072
Pf3D7_02_v3,58174,58798,+,Pf3D7lncRNA_0073
Pf3D7_02_v3,90011,90471,+,Pf3D7lncRNA_0074
Pf3D7_02_v3,108875,111051,+,Pf3D7lncRNA_0075
Pf3D7_02_v3,115746,116789,-,Pf3D7lncRNA_0076
Pf3D7_02_v3,118640,119297,-,Pf3D7lncRNA_0077
Pf3D7_02_v3,138885,141405,-,Pf3D7lncRNA_0078
Pf3D7_02_v3,149109,149896,+,Pf3D7lncRNA_0079
Pf3D7_02_v3,164673,165546,-,Pf3D7lncRNA_0080
Pf3D7_02_v3,170886,171211,+,Pf3D7lncRNA_0081
Pf3D7_02_v3,190359,191005,+,Pf3D7lncRNA_0082
Pf3D7_02_v3,193294,194092,-,Pf3D7lncRNA_0083
Pf3D7_02_v3,200063,200318,+,Pf3D7lncRNA_0084
Pf3D7_02_v3,204289,205672,+,Pf3D7lncRNA_0085
Pf3D7_02_v3,208135,209235,+,Pf3D7lncRNA_0086
Pf3D7_02_v3,250991,251784,-,Pf3D7lncRNA_0087
Pf3D7_02_v3,269063,269578,+,Pf3D7lncRNA_0088
Pf3D7_02_v3,270304,270685,+,Pf3D7lncRNA_0089
Pf3D7_02_v3,275232,276319,+,Pf3D7lncRNA_0090
Pf3D7_02_v3,279055,279574,+,Pf3D7lncRNA_0091
Pf3D7_02_v3,288824,290195,+,Pf3D7lncRNA_0092
Pf3D7_02_v3,290434,290838,+,Pf3D7lncRNA_0093
Pf3D7_02_v3,298816,299020,+,Pf3D7lncRNA_0094
Pf3D7_02_v3,303086,304503,+,Pf3D7lncRNA_0095
Pf3D7_02_v3,308103,308792,+,Pf3D7lncRNA_0096
Pf3D7_02_v3,312720,313049,+,Pf3D7lncRNA_0097
Pf3D7_02_v3,317194,317506,+,Pf3D7lncRNA_0098
Pf3D7_02_v3,352610,354106,-,Pf3D7lncRNA_0099
Pf3D7_02_v3,399550,401554,+,Pf3D7lncRNA_0100
Pf3D7_02_v3,402746,403843,+,Pf3D7lncRNA_0101
Pf3D7_02_v3,407337,408594,+,Pf3D7lncRNA_0102
Pf3D7_02_v3,410585,411335,-,Pf3D7lncRNA_0103
Pf3D7_02_v3,422010,425060,+,Pf3D7lncRNA_0104
Pf3D7_02_v3,443650,445267,+,Pf3D7lncRNA_0105
Pf3D7_02_v3,459004,460701,+,Pf3D7lncRNA_0106
Pf3D7_02_v3,466354,467168,-,Pf3D7lncRNA_0107
Pf3D7_02_v3,467246,469390,-,Pf3D7lncRNA_0108
Pf3D7_02_v3,472329,474455,-,Pf3D7lncRNA_0109
Pf3D7_02_v3,479759,481624,-,Pf3D7lncRNA_0110
Pf3D7_02_v3,496115,496628,+,Pf3D7lncRNA_0111
Pf3D7_02_v3,520774,522191,-,Pf3D7lncRNA_0112
Pf3D7_02_v3,523091,523539,-,Pf3D7lncRNA_0113
Pf3D7_02_v3,526819,532281,-,Pf3D7lncRNA_0114
Pf3D7_02_v3,535888,536438,-,Pf3D7lncRNA_0115
Pf3D7_02_v3,574467,575691,+,Pf3D7lncRNA_0116
Pf3D7_02_v3,591335,591856,-,Pf3D7lncRNA_0117
Pf3D7_02_v3,603140,603577,-,Pf3D7lncRNA_0118
Pf3D7_02_v3,609459,609864,-,Pf3D7lncRNA_0119
Pf3D7_02_v3,620789,621457,+,Pf3D7lncRNA_0120
Pf3D7_02_v3,622003,622627,+,Pf3D7lncRNA_0121
Pf3D7_02_v3,623699,624068,+,Pf3D7lncRNA_0122
Pf3D7_02_v3,628250,629162,+,Pf3D7lncRNA_0123
Pf3D7_02_v3,654194,654490,+,Pf3D7lncRNA_0124
Pf3D7_02_v3,674168,674903,-,Pf3D7lncRNA_0125
Pf3D7_02_v3,683687,685359,-,Pf3D7lncRNA_0126
Pf3D7_02_v3,689208,690349,-,Pf3D7lncRNA_0127
Pf3D7_02_v3,717918,718817,-,Pf3D7lncRNA_0128
Pf3D7_02_v3,723985,724396,+,Pf3D7lncRNA_0129
Pf3D7_02_v3,730702,731431,+,Pf3D7lncRNA_0130
Pf3D7_02_v3,746720,749891,+,Pf3D7lncRNA_0131
Pf3D7_02_v3,753579,753828,-,Pf3D7lncRNA_0132
Pf3D7_02_v3,765633,766171,+,Pf3D7lncRNA_0133
Pf3D7_02_v3,765768,767414,-,Pf3D7lncRNA_0134
Pf3D7_02_v3,767575,768421,-,Pf3D7lncRNA_0135
Pf3D7_02_v3,778597,780331,+,Pf3D7lncRNA_0136
Pf3D7_02_v3,782925,784281,+,Pf3D7lncRNA_0137
Pf3D7_02_v3,790255,791490,+,Pf3D7lncRNA_0138
Pf3D7_02_v3,792465,793668,-,Pf3D7lncRNA_0139
Pf3D7_02_v3,794439,795128,-,Pf3D7lncRNA_0140
Pf3D7_02_v3,801974,802709,-,Pf3D7lncRNA_0141
Pf3D7_02_v3,811924,813492,+,Pf3D7lncRNA_0142
Pf3D7_02_v3,816456,819005,+,Pf3D7lncRNA_0143
Pf3D7_02_v3,825586,826841,+,Pf3D7lncRNA_0144
Pf3D7_02_v3,829044,830056,-,Pf3D7lncRNA_0145
Pf3D7_02_v3,830971,832360,-,Pf3D7lncRNA_0146
Pf3D7_02_v3,837185,837575,-,Pf3D7lncRNA_0147
Pf3D7_02_v3,853026,853985,-,Pf3D7lncRNA_0148
Pf3D7_02_v3,877246,878021,-,Pf3D7lncRNA_0149
Pf3D7_02_v3,913127,913479,-,Pf3D7lncRNA_0150
Pf3D7_02_v3,914425,915649,-,Pf3D7lncRNA_0151
Pf3D7_02_v3,915843,917831,-,Pf3D7lncRNA_0152
Pf3D7_02_v3,917982,918266,+,Pf3D7lncRNA_0153
Pf3D7_03_v3,41405,42105,-,Pf3D7lncRNA_0154
Pf3D7_03_v3,42306,42925,-,Pf3D7lncRNA_0155
Pf3D7_03_v3,42810,44986,+,Pf3D7lncRNA_0156
Pf3D7_03_v3,44110,45271,-,Pf3D7lncRNA_0157
Pf3D7_03_v3,46231,47691,+,Pf3D7lncRNA_0158
Pf3D7_03_v3,87174,87928,+,Pf3D7lncRNA_0159
Pf3D7_03_v3,94663,95499,+,Pf3D7lncRNA_0160
Pf3D7_03_v3,98836,100746,+,Pf3D7lncRNA_0161
Pf3D7_03_v3,100492,101257,-,Pf3D7lncRNA_0162
Pf3D7_03_v3,101804,102974,-,Pf3D7lncRNA_0163
Pf3D7_03_v3,102479,102888,+,Pf3D7lncRNA_0164
Pf3D7_03_v3,107884,109513,+,Pf3D7lncRNA_0165
Pf3D7_03_v3,110488,112204,-,Pf3D7lncRNA_0166
Pf3D7_03_v3,110537,111874,+,Pf3D7lncRNA_0167
Pf3D7_03_v3,117796,118544,-,Pf3D7lncRNA_0168
Pf3D7_03_v3,121646,124719,-,Pf3D7lncRNA_0169
Pf3D7_03_v3,132282,133257,-,Pf3D7lncRNA_0170
Pf3D7_03_v3,137578,141238,-,Pf3D7lncRNA_0171
Pf3D7_03_v3,157894,161998,+,Pf3D7lncRNA_0172
Pf3D7_03_v3,162806,163545,+,Pf3D7lncRNA_0173
Pf3D7_03_v3,177549,178168,-,Pf3D7lncRNA_0174
Pf3D7_03_v3,179022,181304,-,Pf3D7lncRNA_0175
Pf3D7_03_v3,210344,211080,+,Pf3D7lncRNA_0176
Pf3D7_03_v3,210798,212062,-,Pf3D7lncRNA_0177
Pf3D7_03_v3,220664,222750,+,Pf3D7lncRNA_0178
Pf3D7_03_v3,233667,235952,+,Pf3D7lncRNA_0179
Pf3D7_03_v3,248052,249551,+,Pf3D7lncRNA_0180
Pf3D7_03_v3,274641,277487,+,Pf3D7lncRNA_0181
Pf3D7_03_v3,278145,278691,+,Pf3D7lncRNA_0182
Pf3D7_03_v3,280743,281470,+,Pf3D7lncRNA_0183
Pf3D7_03_v3,287719,288024,+,Pf3D7lncRNA_0184
Pf3D7_03_v3,303274,304181,-,Pf3D7lncRNA_0185
Pf3D7_03_v3,304351,305114,-,Pf3D7lncRNA_0186
Pf3D7_03_v3,308681,310080,-,Pf3D7lncRNA_0187
Pf3D7_03_v3,314331,314825,+,Pf3D7lncRNA_0188
Pf3D7_03_v3,322602,323525,+,Pf3D7lncRNA_0189
Pf3D7_03_v3,336328,336920,-,Pf3D7lncRNA_0190
Pf3D7_03_v3,354000,355410,-,Pf3D7lncRNA_0191
Pf3D7_03_v3,365110,365333,+,Pf3D7lncRNA_0192
Pf3D7_03_v3,368881,369699,-,Pf3D7lncRNA_0193
Pf3D7_03_v3,370222,371045,-,Pf3D7lncRNA_0194
Pf3D7_03_v3,371530,372019,-,Pf3D7lncRNA_0195
Pf3D7_03_v3,373473,374629,-,Pf3D7lncRNA_0196
Pf3D7_03_v3,400760,401376,-,Pf3D7lncRNA_0197
Pf3D7_03_v3,401456,402908,-,Pf3D7lncRNA_0198
Pf3D7_03_v3,405310,406781,-,Pf3D7lncRNA_0199
Pf3D7_03_v3,441012,442011,-,Pf3D7lncRNA_0200
Pf3D7_03_v3,459807,460609,+,Pf3D7lncRNA_0201
Pf3D7_03_v3,463470,465356,-,Pf3D7lncRNA_0202
Pf3D7_03_v3,469049,470046,-,Pf3D7lncRNA_0203
Pf3D7_03_v3,486271,487065,+,Pf3D7lncRNA_0204
Pf3D7_03_v3,501044,502675,-,Pf3D7lncRNA_0205
Pf3D7_03_v3,504208,506165,-,Pf3D7lncRNA_0206
Pf3D7_03_v3,527315,528223,+,Pf3D7lncRNA_0207
Pf3D7_03_v3,531199,531722,-,Pf3D7lncRNA_0208
Pf3D7_03_v3,532579,533251,-,Pf3D7lncRNA_0209
Pf3D7_03_v3,565812,568464,-,Pf3D7lncRNA_0210
Pf3D7_03_v3,571163,572155,+,Pf3D7lncRNA_0211
Pf3D7_03_v3,579212,580921,+,Pf3D7lncRNA_0212
Pf3D7_03_v3,582333,583251,-,Pf3D7lncRNA_0213
Pf3D7_03_v3,607005,608314,-,Pf3D7lncRNA_0214
Pf3D7_03_v3,631511,633340,+,Pf3D7lncRNA_0215
Pf3D7_03_v3,643489,644177,-,Pf3D7lncRNA_0216
Pf3D7_03_v3,645785,646470,+,Pf3D7lncRNA_0217
Pf3D7_03_v3,670851,671597,+,Pf3D7lncRNA_0218
Pf3D7_03_v3,672064,672687,+,Pf3D7lncRNA_0219
Pf3D7_03_v3,675349,676649,-,Pf3D7lncRNA_0220
Pf3D7_03_v3,681564,685432,+,Pf3D7lncRNA_0221
Pf3D7_03_v3,697275,699997,+,Pf3D7lncRNA_0222
Pf3D7_03_v3,710794,711886,+,Pf3D7lncRNA_0223
Pf3D7_03_v3,712198,713930,+,Pf3D7lncRNA_0224
Pf3D7_03_v3,714501,714804,-,Pf3D7lncRNA_0225
Pf3D7_03_v3,715660,716829,+,Pf3D7lncRNA_0226
Pf3D7_03_v3,723452,723778,-,Pf3D7lncRNA_0227
Pf3D7_03_v3,726017,727319,-,Pf3D7lncRNA_0228
Pf3D7_03_v3,744042,746991,-,Pf3D7lncRNA_0229
Pf3D7_03_v3,786881,787528,+,Pf3D7lncRNA_0230
Pf3D7_03_v3,803295,804364,+,Pf3D7lncRNA_0231
Pf3D7_03_v3,807998,809733,-,Pf3D7lncRNA_0232
Pf3D7_03_v3,816626,817251,-,Pf3D7lncRNA_0233
Pf3D7_03_v3,818810,819735,-,Pf3D7lncRNA_0234
Pf3D7_03_v3,833250,835568,+,Pf3D7lncRNA_0235
Pf3D7_03_v3,835739,836768,-,Pf3D7lncRNA_0236
Pf3D7_03_v3,838611,839628,-,Pf3D7lncRNA_0237
Pf3D7_03_v3,842607,843183,-,Pf3D7lncRNA_0238
Pf3D7_03_v3,844804,845180,-,Pf3D7lncRNA_0239
Pf3D7_03_v3,865895,868047,-,Pf3D7lncRNA_0240
Pf3D7_03_v3,867612,869962,+,Pf3D7lncRNA_0241
Pf3D7_03_v3,869091,869703,-,Pf3D7lncRNA_0242
Pf3D7_03_v3,873033,874482,-,Pf3D7lncRNA_0243
Pf3D7_03_v3,876858,877281,-,Pf3D7lncRNA_0244
Pf3D7_03_v3,885945,889239,+,Pf3D7lncRNA_0245
Pf3D7_03_v3,920604,921974,-,Pf3D7lncRNA_0246
Pf3D7_03_v3,925738,926955,-,Pf3D7lncRNA_0247
Pf3D7_03_v3,930059,931506,+,Pf3D7lncRNA_0248
Pf3D7_03_v3,933113,934230,+,Pf3D7lncRNA_0249
Pf3D7_03_v3,940625,941939,-,Pf3D7lncRNA_0250
Pf3D7_03_v3,941030,941963,+,Pf3D7lncRNA_0251
Pf3D7_03_v3,966967,969324,+,Pf3D7lncRNA_0252
Pf3D7_03_v3,975932,976584,-,Pf3D7lncRNA_0253
Pf3D7_03_v3,984915,985509,+,Pf3D7lncRNA_0254
Pf3D7_03_v3,994637,995406,-,Pf3D7lncRNA_0255
Pf3D7_03_v3,994672,995720,+,Pf3D7lncRNA_0256
Pf3D7_03_v3,1028861,1030198,-,Pf3D7lncRNA_0257
Pf3D7_03_v3,1030016,1031161,+,Pf3D7lncRNA_0258
Pf3D7_03_v3,1030307,1032659,-,Pf3D7lncRNA_0259
Pf3D7_03_v3,1032515,1033621,+,Pf3D7lncRNA_0260
Pf3D7_04_v3,4677,5292,-,Pf3D7lncRNA_0261
Pf3D7_04_v3,34041,35863,-,Pf3D7lncRNA_0262
Pf3D7_04_v3,35792,38049,+,Pf3D7lncRNA_0263
Pf3D7_04_v3,37354,38667,-,Pf3D7lncRNA_0264
Pf3D7_04_v3,40100,40902,-,Pf3D7lncRNA_0265
Pf3D7_04_v3,40854,42064,+,Pf3D7lncRNA_0266
Pf3D7_04_v3,46092,47045,-,Pf3D7lncRNA_0267
Pf3D7_04_v3,47219,47508,+,Pf3D7lncRNA_0268
Pf3D7_04_v3,61072,61785,-,Pf3D7lncRNA_0269
Pf3D7_04_v3,61985,62574,+,Pf3D7lncRNA_0270
Pf3D7_04_v3,79114,79347,-,Pf3D7lncRNA_0271
Pf3D7_04_v3,90784,93418,+,Pf3D7lncRNA_0272
Pf3D7_04_v3,95214,95891,+,Pf3D7lncRNA_0273
Pf3D7_04_v3,96294,98469,+,Pf3D7lncRNA_0274
Pf3D7_04_v3,104765,105736,+,Pf3D7lncRNA_0275
Pf3D7_04_v3,107970,108699,+,Pf3D7lncRNA_0276
Pf3D7_04_v3,120258,120594,+,Pf3D7lncRNA_0277
Pf3D7_04_v3,126881,127507,+,Pf3D7lncRNA_0278
Pf3D7_04_v3,135263,136575,+,Pf3D7lncRNA_0279
Pf3D7_04_v3,135327,135536,-,Pf3D7lncRNA_0280
Pf3D7_04_v3,135977,136315,-,Pf3D7lncRNA_0281
Pf3D7_04_v3,149211,151197,+,Pf3D7lncRNA_0282
Pf3D7_04_v3,202039,202412,+,Pf3D7lncRNA_0283
Pf3D7_04_v3,205136,205957,+,Pf3D7lncRNA_0284
Pf3D7_04_v3,210221,211189,+,Pf3D7lncRNA_0285
Pf3D7_04_v3,215987,218162,-,Pf3D7lncRNA_0286
Pf3D7_04_v3,223121,225576,+,Pf3D7lncRNA_0287
Pf3D7_04_v3,237396,240039,+,Pf3D7lncRNA_0288
Pf3D7_04_v3,240838,243320,+,Pf3D7lncRNA_0289
Pf3D7_04_v3,243164,243849,-,Pf3D7lncRNA_0290
Pf3D7_04_v3,264058,265637,+,Pf3D7lncRNA_0291
Pf3D7_04_v3,326514,330947,-,Pf3D7lncRNA_0292
Pf3D7_04_v3,331314,332094,-,Pf3D7lncRNA_0293
Pf3D7_04_v3,395109,395371,-,Pf3D7lncRNA_0294
Pf3D7_04_v3,395651,396034,+,Pf3D7lncRNA_0295
Pf3D7_04_v3,411894,416869,-,Pf3D7lncRNA_0296
Pf3D7_04_v3,418326,419022,+,Pf3D7lncRNA_0297
Pf3D7_04_v3,429226,429829,+,Pf3D7lncRNA_0298
Pf3D7_04_v3,435864,436471,+,Pf3D7lncRNA_0299
Pf3D7_04_v3,458218,459157,-,Pf3D7lncRNA_0300
Pf3D7_04_v3,469205,470015,+,Pf3D7lncRNA_0301
Pf3D7_04_v3,477531,478311,-,Pf3D7lncRNA_0302
Pf3D7_04_v3,494030,495096,+,Pf3D7lncRNA_0303
Pf3D7_04_v3,494374,495784,-,Pf3D7lncRNA_0304
Pf3D7_04_v3,504052,504476,+,Pf3D7lncRNA_0305
Pf3D7_04_v3,527725,528278,+,Pf3D7lncRNA_0306
Pf3D7_04_v3,541349,542336,+,Pf3D7lncRNA_0307
Pf3D7_04_v3,563394,563762,+,Pf3D7lncRNA_0308
Pf3D7_04_v3,575892,576543,-,Pf3D7lncRNA_0309
Pf3D7_04_v3,578589,579115,+,Pf3D7lncRNA_0310
Pf3D7_04_v3,591031,591682,-,Pf3D7lncRNA_0311
Pf3D7_04_v3,593728,594254,+,Pf3D7lncRNA_0312
Pf3D7_04_v3,613626,614873,-,Pf3D7lncRNA_0313
Pf3D7_04_v3,618895,620567,+,Pf3D7lncRNA_0314
Pf3D7_04_v3,633886,636051,+,Pf3D7lncRNA_0315
Pf3D7_04_v3,639396,640659,+,Pf3D7lncRNA_0316
Pf3D7_04_v3,648763,649428,+,Pf3D7lncRNA_0317
Pf3D7_04_v3,650306,650707,+,Pf3D7lncRNA_0318
Pf3D7_04_v3,654736,657182,+,Pf3D7lncRNA_0319
Pf3D7_04_v3,666753,668009,-,Pf3D7lncRNA_0320
Pf3D7_04_v3,669162,670103,+,Pf3D7lncRNA_0321
Pf3D7_04_v3,680229,680945,+,Pf3D7lncRNA_0322
Pf3D7_04_v3,696039,696854,-,Pf3D7lncRNA_0323
Pf3D7_04_v3,699630,703368,+,Pf3D7lncRNA_0324
Pf3D7_04_v3,716784,717078,-,Pf3D7lncRNA_0325
Pf3D7_04_v3,740821,741233,+,Pf3D7lncRNA_0326
Pf3D7_04_v3,746294,747120,-,Pf3D7lncRNA_0327
Pf3D7_04_v3,783605,784371,-,Pf3D7lncRNA_0328
Pf3D7_04_v3,784877,785368,-,Pf3D7lncRNA_0329
Pf3D7_04_v3,793260,793643,+,Pf3D7lncRNA_0330
Pf3D7_04_v3,827273,828312,+,Pf3D7lncRNA_0331
Pf3D7_04_v3,828620,829554,-,Pf3D7lncRNA_0332
Pf3D7_04_v3,832968,833345,+,Pf3D7lncRNA_0333
Pf3D7_04_v3,856938,857151,+,Pf3D7lncRNA_0334
Pf3D7_04_v3,908639,909168,-,Pf3D7lncRNA_0335
Pf3D7_04_v3,911561,911885,-,Pf3D7lncRNA_0336
Pf3D7_04_v3,912215,915284,-,Pf3D7lncRNA_0337
Pf3D7_04_v3,970756,971206,+,Pf3D7lncRNA_0338
Pf3D7_04_v3,995293,996100,-,Pf3D7lncRNA_0339
Pf3D7_04_v3,998725,999394,-,Pf3D7lncRNA_0340
Pf3D7_04_v3,1000281,1001193,-,Pf3D7lncRNA_0341
Pf3D7_04_v3,1018820,1019765,+,Pf3D7lncRNA_0342
Pf3D7_04_v3,1020169,1025599,-,Pf3D7lncRNA_0343
Pf3D7_04_v3,1027761,1028236,-,Pf3D7lncRNA_0344
Pf3D7_04_v3,1041142,1041964,-,Pf3D7lncRNA_0345
Pf3D7_04_v3,1053283,1053884,+,Pf3D7lncRNA_0346
Pf3D7_04_v3,1055725,1056576,-,Pf3D7lncRNA_0347
Pf3D7_04_v3,1056619,1057319,-,Pf3D7lncRNA_0348
Pf3D7_04_v3,1072587,1074116,+,Pf3D7lncRNA_0349
Pf3D7_04_v3,1075174,1075564,-,Pf3D7lncRNA_0350
Pf3D7_04_v3,1084909,1085636,+,Pf3D7lncRNA_0351
Pf3D7_04_v3,1106846,1107609,-,Pf3D7lncRNA_0352
Pf3D7_04_v3,1115819,1116893,-,Pf3D7lncRNA_0353
Pf3D7_04_v3,1126851,1127254,-,Pf3D7lncRNA_0354
Pf3D7_04_v3,1153479,1153712,+,Pf3D7lncRNA_0355
Pf3D7_04_v3,1171663,1172454,-,Pf3D7lncRNA_0356
Pf3D7_04_v3,1172295,1173403,+,Pf3D7lncRNA_0357
Pf3D7_04_v3,1172685,1173535,-,Pf3D7lncRNA_0358
Pf3D7_04_v3,1174986,1175964,+,Pf3D7lncRNA_0359
Pf3D7_05_v3,7648,8276,-,Pf3D7lncRNA_0360
Pf3D7_05_v3,26274,26875,-,Pf3D7lncRNA_0361
Pf3D7_05_v3,26856,28866,+,Pf3D7lncRNA_0362
Pf3D7_05_v3,28964,29578,+,Pf3D7lncRNA_0363
Pf3D7_05_v3,49053,51394,+,Pf3D7lncRNA_0364
Pf3D7_05_v3,53227,54811,+,Pf3D7lncRNA_0365
Pf3D7_05_v3,65924,66876,-,Pf3D7lncRNA_0366
Pf3D7_05_v3,70532,71300,-,Pf3D7lncRNA_0367
Pf3D7_05_v3,83118,84008,+,Pf3D7lncRNA_0368
Pf3D7_05_v3,86280,88622,+,Pf3D7lncRNA_0369
Pf3D7_05_v3,89452,90367,-,Pf3D7lncRNA_0370
Pf3D7_05_v3,104800,106298,-,Pf3D7lncRNA_0371
Pf3D7_05_v3,108635,109953,+,Pf3D7lncRNA_0372
Pf3D7_05_v3,115500,115988,-,Pf3D7lncRNA_0373
Pf3D7_05_v3,137541,139073,+,Pf3D7lncRNA_0374
Pf3D7_05_v3,138049,140106,-,Pf3D7lncRNA_0375
Pf3D7_05_v3,151174,152018,+,Pf3D7lncRNA_0376
Pf3D7_05_v3,152857,153791,+,Pf3D7lncRNA_0377
Pf3D7_05_v3,174951,177104,-,Pf3D7lncRNA_0378
Pf3D7_05_v3,207568,207913,-,Pf3D7lncRNA_0379
Pf3D7_05_v3,209590,210490,+,Pf3D7lncRNA_0380
Pf3D7_05_v3,228803,229455,-,Pf3D7lncRNA_0381
Pf3D7_05_v3,239013,239954,+,Pf3D7lncRNA_0382
Pf3D7_05_v3,240386,240991,+,Pf3D7lncRNA_0383
Pf3D7_05_v3,251151,251991,+,Pf3D7lncRNA_0384
Pf3D7_05_v3,253135,254870,+,Pf3D7lncRNA_0385
Pf3D7_05_v3,285434,285999,-,Pf3D7lncRNA_0386
Pf3D7_05_v3,292108,293476,+,Pf3D7lncRNA_0387
Pf3D7_05_v3,297304,298126,+,Pf3D7lncRNA_0388
Pf3D7_05_v3,301248,301774,+,Pf3D7lncRNA_0389
Pf3D7_05_v3,310498,312442,-,Pf3D7lncRNA_0390
Pf3D7_05_v3,319726,321275,-,Pf3D7lncRNA_0391
Pf3D7_05_v3,340120,341041,-,Pf3D7lncRNA_0392
Pf3D7_05_v3,379234,380659,-,Pf3D7lncRNA_0393
Pf3D7_05_v3,389866,390638,+,Pf3D7lncRNA_0394
Pf3D7_05_v3,400230,400682,+,Pf3D7lncRNA_0395
Pf3D7_05_v3,416750,417812,-,Pf3D7lncRNA_0396
Pf3D7_05_v3,432752,436924,-,Pf3D7lncRNA_0397
