lnc_id,lnc_chr,lnc_start,lnc_end,lnc_strand,gene_id,gene_name,gene_chr,gene_start,gene_end,gene_strand,orientation
TCONS_00000056,Pf3D7_01_v3,551239,551671,+,PF3D7_0114200,NA,Pf3D7_01_v3,550576,551713,-,antisense
Pf3D7lncRNA_0069,Pf3D7_01_v3,608990,609518,+,PF3D7_0115700,NA,Pf3D7_01_v3,607390,614893,-,antisense
TCONS_00000210,Pf3D7_01_v3,609406,610888,+,PF3D7_0115700,NA,Pf3D7_01_v3,607390,614893,-,antisense
Pf3D7lncRNA_0070,Pf3D7_02_v3,29005,29656,-,PF3D7_0200100,NA,Pf3D7_02_v3,25232,31168,+,antisense
bowtie_circ_002814,Pf3D7_02_v3,87093,87196,-,PF3D7_0201800,NA,Pf3D7_02_v3,86832,88791,-,sense
bowtie_circ_002151,Pf3D7_02_v3,94844,95156,+,PF3D7_0201900,NA,Pf3D7_02_v3,91318,98838,-,antisense
bowtie_circ_001783,Pf3D7_02_v3,104059,104221,-,PF3D7_0202000,NA,Pf3D7_02_v3,103385,105796,-,sense
bowtie_circ_000796,Pf3D7_02_v3,105049,105172,-,PF3D7_0202000,NA,Pf3D7_02_v3,103385,105796,-,sense
bowtie_circ_001799,Pf3D7_02_v3,128115,128240,+,PF3D7_0202500,NA,Pf3D7_02_v3,127994,128314,+,sense
TCONS_00000567,Pf3D7_02_v3,140514,141077,-,PF3D7_0202900,NA,Pf3D7_02_v3,138927,141192,+,antisense
bowtie_circ_004869,Pf3D7_02_v3,162206,162786,-,PF3D7_0203400,NA,Pf3D7_02_v3,162065,162900,-,sense
Pf3D7lncRNA_0083,Pf3D7_02_v3,193294,194092,-,PF3D7_0204200,NA,Pf3D7_02_v3,192818,194199,+,antisense
bowtie_circ_005503,Pf3D7_02_v3,195340,195462,-,PF3D7_0204300,NA,Pf3D7_02_v3,194826,196916,-,sense
bowtie_circ_005312,Pf3D7_02_v3,207092,207355,-,PF3D7_0204700,NA,Pf3D7_02_v3,205889,207403,-,sense
bowtie_circ_000673,Pf3D7_02_v3,207222,207364,-,PF3D7_0204700,NA,Pf3D7_02_v3,205889,207403,-,sense
bowtie_circ_002935,Pf3D7_02_v3,235639,235835,+,PF3D7_0205900,NA,Pf3D7_02_v3,235237,238816,+,sense
bowtie_circ_004193,Pf3D7_02_v3,241794,241956,-,PF3D7_0206000,NA,Pf3D7_02_v3,239246,243796,-,sense
bowtie_circ_002735,Pf3D7_02_v3,252756,253484,+,PF3D7_0206300,NA,Pf3D7_02_v3,252394,262443,+,sense
bowtie_circ_001346,Pf3D7_02_v3,273897,274071,-,PF3D7_0206800,NA,Pf3D7_02_v3,273689,274507,-,sense
bowtie_circ_000861,Pf3D7_02_v3,273975,274089,+,PF3D7_0206800,NA,Pf3D7_02_v3,273689,274507,-,antisense
bowtie_circ_003398,Pf3D7_02_v3,275631,276441,-,PF3D7_0206900,NA,Pf3D7_02_v3,275540,276577,-,sense
bowtie_circ_004186,Pf3D7_02_v3,275980,276441,-,PF3D7_0206900,NA,Pf3D7_02_v3,275540,276577,-,sense
bowtie_circ_002303,Pf3D7_02_v3,278039,278144,-,PF3D7_0207000,NA,Pf3D7_02_v3,277494,278456,-,sense
bowtie_circ_000444,Pf3D7_02_v3,278072,278219,-,PF3D7_0207000,NA,Pf3D7_02_v3,277494,278456,-,sense
Pf3D7lncRNA_0093,Pf3D7_02_v3,290434,290838,+,PF3D7_0207300,NA,Pf3D7_02_v3,290168,292703,-,antisense
bowtie_circ_003465,Pf3D7_02_v3,295603,295747,-,PF3D7_0207400,NA,Pf3D7_02_v3,294273,297616,-,sense
bowtie_circ_001908,Pf3D7_02_v3,303992,304097,+,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,antisense
bowtie_circ_003234,Pf3D7_02_v3,304698,304974,-,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,sense
bowtie_circ_000392,Pf3D7_02_v3,305097,305249,-,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,sense
bowtie_circ_005148,Pf3D7_02_v3,306186,306309,-,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,sense
bowtie_circ_004074,Pf3D7_02_v3,306192,306309,-,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,sense
bowtie_circ_000446,Pf3D7_02_v3,306204,306309,-,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,sense
bowtie_circ_003973,Pf3D7_02_v3,306660,306780,-,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,sense
bowtie_circ_000782,Pf3D7_02_v3,306675,306795,-,PF3D7_0207600,NA,Pf3D7_02_v3,303593,307027,-,sense
bowtie_circ_004257,Pf3D7_02_v3,349130,349232,-,PF3D7_0208400,NA,Pf3D7_02_v3,343308,349340,-,sense
bowtie_circ_001828,Pf3D7_02_v3,355488,355631,+,PF3D7_0208600,NA,Pf3D7_02_v3,354621,356117,+,sense
bowtie_circ_005437,Pf3D7_02_v3,355497,355631,+,PF3D7_0208600,NA,Pf3D7_02_v3,354621,356117,+,sense
bowtie_circ_002341,Pf3D7_02_v3,385751,386133,-,PF3D7_0209200,NA,Pf3D7_02_v3,384865,386580,-,sense
bowtie_circ_003053,Pf3D7_02_v3,404906,405044,+,PF3D7_0209800,NA,Pf3D7_02_v3,404281,406355,-,antisense
bowtie_circ_002238,Pf3D7_02_v3,404960,405160,-,PF3D7_0209800,NA,Pf3D7_02_v3,404281,406355,-,sense
bowtie_circ_004059,Pf3D7_02_v3,432928,433304,-,PF3D7_0210600,NA,Pf3D7_02_v3,432041,434086,-,sense
bowtie_circ_002763,Pf3D7_02_v3,436083,436245,+,PF3D7_0210700,NA,Pf3D7_02_v3,436050,436994,+,sense
bowtie_circ_000536,Pf3D7_02_v3,442489,442651,-,PF3D7_0210900,NA,Pf3D7_02_v3,442080,442934,-,sense
TCONS_00000422,Pf3D7_02_v3,459522,460831,+,PF3D7_0211400,NA,Pf3D7_02_v3,459072,461518,-,antisense
bowtie_circ_000571,Pf3D7_02_v3,469800,470027,+,PF3D7_0211700,NA,Pf3D7_02_v3,469790,473491,+,sense
bowtie_circ_001233,Pf3D7_02_v3,469945,470107,+,PF3D7_0211700,NA,Pf3D7_02_v3,469790,473491,+,sense
bowtie_circ_005464,Pf3D7_02_v3,487324,487426,+,PF3D7_0212100,NA,Pf3D7_02_v3,483436,488970,+,sense
bowtie_circ_003091,Pf3D7_02_v3,492622,492985,+,PF3D7_0212300,NA,Pf3D7_02_v3,492616,494306,+,sense
Pf3D7lncRNA_0111,Pf3D7_02_v3,496115,496628,+,PF3D7_0212400,NA,Pf3D7_02_v3,495166,507854,-,antisense
Pf3D7lncRNA_0113,Pf3D7_02_v3,523091,523539,-,PF3D7_0212600,NA,Pf3D7_02_v3,522931,523999,+,antisense
bowtie_circ_002634,Pf3D7_02_v3,566620,566742,+,PF3D7_0214000,NA,Pf3D7_02_v3,566121,567894,+,sense
bowtie_circ_004433,Pf3D7_02_v3,568698,569048,-,PF3D7_0214100,NA,Pf3D7_02_v3,568529,573315,-,sense
bowtie_circ_005072,Pf3D7_02_v3,572461,572579,-,PF3D7_0214100,NA,Pf3D7_02_v3,568529,573315,-,sense
Pf3D7lncRNA_0122,Pf3D7_02_v3,623699,624068,+,PF3D7_0215100,NA,Pf3D7_02_v3,622524,624306,-,antisense
bowtie_circ_002643,Pf3D7_02_v3,721894,722262,+,PF3D7_0217500,NA,Pf3D7_02_v3,720437,722661,+,sense
Pf3D7lncRNA_0129,Pf3D7_02_v3,723985,724396,+,PF3D7_0217600,NA,Pf3D7_02_v3,723747,729932,-,antisense
bowtie_circ_003720,Pf3D7_02_v3,729148,729562,-,PF3D7_0217600,NA,Pf3D7_02_v3,723747,729932,-,sense
bowtie_circ_003113,Pf3D7_02_v3,734374,734550,+,PF3D7_0217800,NA,Pf3D7_02_v3,734272,734595,+,sense
bowtie_circ_003988,Pf3D7_02_v3,735673,735783,+,PF3D7_0217900,NA,Pf3D7_02_v3,735438,736997,-,antisense
bowtie_circ_003021,Pf3D7_02_v3,761385,761511,+,PF3D7_0218600,NA,Pf3D7_02_v3,755418,762560,+,sense
bowtie_circ_004715,Pf3D7_02_v3,766505,766638,-,PF3D7_0218800,NA,Pf3D7_02_v3,766390,767015,-,sense
bowtie_circ_005346,Pf3D7_02_v3,797682,797801,+,PF3D7_0220000,NA,Pf3D7_02_v3,796752,801586,+,sense
bowtie_circ_001777,Pf3D7_02_v3,799636,799738,+,PF3D7_0220000,NA,Pf3D7_02_v3,796752,801586,+,sense
bowtie_circ_000932,Pf3D7_02_v3,800722,800989,+,PF3D7_0220000,NA,Pf3D7_02_v3,796752,801586,+,sense
bowtie_circ_003984,Pf3D7_02_v3,800804,801076,+,PF3D7_0220000,NA,Pf3D7_02_v3,796752,801586,+,sense
bowtie_circ_002440,Pf3D7_02_v3,800822,800930,+,PF3D7_0220000,NA,Pf3D7_02_v3,796752,801586,+,sense
bowtie_circ_003027,Pf3D7_02_v3,809713,809833,+,PF3D7_0220200,NA,Pf3D7_02_v3,809511,810298,-,antisense
bowtie_circ_002369,Pf3D7_02_v3,840988,841387,+,PF3D7_0220800,NA,Pf3D7_02_v3,838843,844116,+,sense
Pf3D7lncRNA_0153,Pf3D7_02_v3,917982,918266,+,PF3D7_0223500,NA,Pf3D7_02_v3,916352,923648,-,antisense
TCONS_00000531,Pf3D7_02_v3,918206,919489,+,PF3D7_0223500,NA,Pf3D7_02_v3,916352,923648,-,antisense
TCONS_00000936,Pf3D7_03_v3,41286,42471,-,PF3D7_0300100,NA,Pf3D7_03_v3,36965,44482,+,antisense
Pf3D7lncRNA_0154,Pf3D7_03_v3,41405,42105,-,PF3D7_0300100,NA,Pf3D7_03_v3,36965,44482,+,antisense
Pf3D7lncRNA_0155,Pf3D7_03_v3,42306,42925,-,PF3D7_0300100,NA,Pf3D7_03_v3,36965,44482,+,antisense
Pf3D7lncRNA_0169,Pf3D7_03_v3,121646,124719,-,PF3D7_0302200,NA,Pf3D7_03_v3,119458,124735,+,antisense
bowtie_circ_004751,Pf3D7_03_v3,137186,137819,+,PF3D7_0302500,NA,Pf3D7_03_v3,135418,140660,+,sense
Pf3D7lncRNA_0173,Pf3D7_03_v3,162806,163545,+,PF3D7_0303100,NA,Pf3D7_03_v3,162778,167103,-,antisense
TCONS_00000516,Pf3D7_03_v3,179183,181087,-,PF3D7_0303400,NA,Pf3D7_03_v3,178420,181127,+,antisense
TCONS_00000975,Pf3D7_03_v3,179803,180542,-,PF3D7_0303400,NA,Pf3D7_03_v3,178420,181127,+,antisense
bowtie_circ_000241,Pf3D7_03_v3,257416,257531,-,PF3D7_0305300,NA,Pf3D7_03_v3,255276,258416,-,sense
bowtie_circ_002425,Pf3D7_03_v3,262273,262380,-,PF3D7_0305500,NA,Pf3D7_03_v3,261485,273286,-,sense
bowtie_circ_003282,Pf3D7_03_v3,262279,262380,-,PF3D7_0305500,NA,Pf3D7_03_v3,261485,273286,-,sense
bowtie_circ_000349,Pf3D7_03_v3,279287,279557,-,PF3D7_0305700,NA,Pf3D7_03_v3,278956,279828,-,sense
bowtie_circ_002916,Pf3D7_03_v3,290323,290432,-,PF3D7_0306100,NA,Pf3D7_03_v3,288637,290747,-,sense
bowtie_circ_001011,Pf3D7_03_v3,315248,315518,-,PF3D7_0307200,NA,Pf3D7_03_v3,314976,316236,-,sense
bowtie_circ_004318,Pf3D7_03_v3,315293,315518,-,PF3D7_0307200,NA,Pf3D7_03_v3,314976,316236,-,sense
bowtie_circ_003111,Pf3D7_03_v3,315573,315983,-,PF3D7_0307200,NA,Pf3D7_03_v3,314976,316236,-,sense
bowtie_circ_000635,Pf3D7_03_v3,385925,386418,+,PF3D7_0309000,NA,Pf3D7_03_v3,384375,386879,+,sense
bowtie_circ_004634,Pf3D7_03_v3,386163,386656,+,PF3D7_0309000,NA,Pf3D7_03_v3,384375,386879,+,sense
bowtie_circ_001364,Pf3D7_03_v3,389707,389813,-,PF3D7_0309200,NA,Pf3D7_03_v3,389137,394604,-,sense
bowtie_circ_001644,Pf3D7_03_v3,392119,392269,-,PF3D7_0309200,NA,Pf3D7_03_v3,389137,394604,-,sense
bowtie_circ_000641,Pf3D7_03_v3,399797,399947,+,PF3D7_0309300,NA,Pf3D7_03_v3,397649,400516,+,sense
bowtie_circ_004722,Pf3D7_03_v3,412714,413317,+,PF3D7_0309800,NA,Pf3D7_03_v3,412089,413762,+,sense
bowtie_circ_001925,Pf3D7_03_v3,430372,430551,+,PF3D7_0310200,NA,Pf3D7_03_v3,427290,440942,+,sense
bowtie_circ_004158,Pf3D7_03_v3,480375,480496,-,PF3D7_0311300,NA,Pf3D7_03_v3,480122,483453,-,sense
bowtie_circ_005523,Pf3D7_03_v3,522044,522257,+,PF3D7_0312300,NA,Pf3D7_03_v3,521969,522883,+,sense
bowtie_circ_002500,Pf3D7_03_v3,524546,525010,-,PF3D7_0312400,NA,Pf3D7_03_v3,524154,526439,-,sense
bowtie_circ_003342,Pf3D7_03_v3,524921,525211,-,PF3D7_0312400,NA,Pf3D7_03_v3,524154,526439,-,sense
bowtie_circ_000898,Pf3D7_03_v3,535056,535184,+,PF3D7_0312800,NA,Pf3D7_03_v3,534239,535238,+,sense
bowtie_circ_001333,Pf3D7_03_v3,535084,535184,+,PF3D7_0312800,NA,Pf3D7_03_v3,534239,535238,+,sense
bowtie_circ_003862,Pf3D7_03_v3,554011,554213,-,PF3D7_0313600,NA,Pf3D7_03_v3,552001,554621,-,sense
bowtie_circ_003993,Pf3D7_03_v3,556758,557609,-,PF3D7_0313700,NA,Pf3D7_03_v3,555035,558684,-,sense
bowtie_circ_000665,Pf3D7_03_v3,613028,613190,+,PF3D7_0315100,NA,Pf3D7_03_v3,612739,613422,-,antisense
bowtie_circ_001742,Pf3D7_03_v3,653844,654025,-,PF3D7_0316200,NA,Pf3D7_03_v3,649849,657247,-,sense
bowtie_circ_002352,Pf3D7_03_v3,658552,660984,+,PF3D7_0316300,NA,Pf3D7_03_v3,658272,661643,+,sense
bowtie_circ_001250,Pf3D7_03_v3,669484,670415,-,PF3D7_0316600,NA,Pf3D7_03_v3,669302,670873,-,sense
bowtie_circ_005210,Pf3D7_03_v3,694661,694775,-,PF3D7_0317200,NA,Pf3D7_03_v3,690154,694815,-,sense
bowtie_circ_000217,Pf3D7_03_v3,706209,706371,-,PF3D7_0317300,NA,Pf3D7_03_v3,699544,709728,-,sense
bowtie_circ_003437,Pf3D7_03_v3,709202,709328,-,PF3D7_0317300,NA,Pf3D7_03_v3,699544,709728,-,sense
bowtie_circ_002120,Pf3D7_03_v3,709202,709331,-,PF3D7_0317300,NA,Pf3D7_03_v3,699544,709728,-,sense
bowtie_circ_004876,Pf3D7_03_v3,777346,777462,+,PF3D7_0318500,NA,Pf3D7_03_v3,767815,782760,+,sense
bowtie_circ_003064,Pf3D7_03_v3,804723,805000,-,PF3D7_0319200,NA,Pf3D7_03_v3,803592,806312,-,sense
bowtie_circ_002124,Pf3D7_03_v3,812819,812921,+,PF3D7_0319400,NA,Pf3D7_03_v3,810081,814172,+,sense
bowtie_circ_001229,Pf3D7_03_v3,826694,826946,+,PF3D7_0319700,NA,Pf3D7_03_v3,820708,830802,+,sense
Pf3D7lncRNA_0238,Pf3D7_03_v3,842607,843183,-,PF3D7_0320200,NA,Pf3D7_03_v3,842539,844290,+,antisense
bowtie_circ_001192,Pf3D7_03_v3,846676,846862,+,PF3D7_0320300,NA,Pf3D7_03_v3,845713,847320,+,sense
bowtie_circ_001350,Pf3D7_03_v3,865402,866219,+,PF3D7_0320700,NA,Pf3D7_03_v3,865014,866420,+,sense
bowtie_circ_005028,Pf3D7_03_v3,907450,907555,-,PF3D7_0321700,NA,Pf3D7_03_v3,903764,910118,-,sense
bowtie_circ_005292,Pf3D7_03_v3,913036,913195,+,PF3D7_0321800,NA,Pf3D7_03_v3,912916,921036,+,sense
Pf3D7lncRNA_0247,Pf3D7_03_v3,925738,926955,-,PF3D7_0321900,NA,Pf3D7_03_v3,922974,927942,+,antisense
bowtie_circ_002027,Pf3D7_03_v3,928654,928945,-,PF3D7_0322000,NA,Pf3D7_03_v3,928644,929159,-,sense
bowtie_circ_004759,Pf3D7_03_v3,928657,928771,-,PF3D7_0322000,NA,Pf3D7_03_v3,928644,929159,-,sense
bowtie_circ_003359,Pf3D7_03_v3,939275,939395,-,PF3D7_0322300,NA,Pf3D7_03_v3,938212,940173,-,sense
bowtie_circ_000307,Pf3D7_03_v3,972291,972417,+,PF3D7_0323100,NA,Pf3D7_03_v3,971166,975794,+,sense
bowtie_circ_001872,Pf3D7_03_v3,989162,989318,+,PF3D7_0323600,NA,Pf3D7_03_v3,988631,990882,+,sense
Pf3D7lncRNA_0260,Pf3D7_03_v3,1032515,1033621,+,PF3D7_0324900,NA,Pf3D7_03_v3,1030822,1038254,-,antisense
TCONS_00001349,Pf3D7_04_v3,33664,35671,-,PF3D7_0400100,NA,Pf3D7_04_v3,28706,37677,+,antisense
Pf3D7lncRNA_0262,Pf3D7_04_v3,34041,35863,-,PF3D7_0400100,NA,Pf3D7_04_v3,28706,37677,+,antisense
Pf3D7lncRNA_0267,Pf3D7_04_v3,46092,47045,-,PF3D7_0400400,NA,Pf3D7_04_v3,45555,56860,-,sense
Pf3D7lncRNA_0268,Pf3D7_04_v3,47219,47508,+,PF3D7_0400400,NA,Pf3D7_04_v3,45555,56860,-,antisense
bowtie_circ_005479,Pf3D7_04_v3,92991,93219,-,PF3D7_0401600,NA,Pf3D7_04_v3,92576,93809,-,sense
bowtie_circ_004189,Pf3D7_04_v3,93066,93180,-,PF3D7_0401600,NA,Pf3D7_04_v3,92576,93809,-,sense
bowtie_circ_000023,Pf3D7_04_v3,93202,93324,-,PF3D7_0401600,NA,Pf3D7_04_v3,92576,93809,-,sense
bowtie_circ_000877,Pf3D7_04_v3,93202,93355,-,PF3D7_0401600,NA,Pf3D7_04_v3,92576,93809,-,sense
bowtie_circ_002350,Pf3D7_04_v3,93219,93333,-,PF3D7_0401600,NA,Pf3D7_04_v3,92576,93809,-,sense
bowtie_circ_000199,Pf3D7_04_v3,104555,104669,+,PF3D7_0401800,NA,Pf3D7_04_v3,103742,105603,-,antisense
bowtie_circ_003850,Pf3D7_04_v3,104555,104699,+,PF3D7_0401800,NA,Pf3D7_04_v3,103742,105603,-,antisense
bowtie_circ_004023,Pf3D7_04_v3,104555,104729,+,PF3D7_0401800,NA,Pf3D7_04_v3,103742,105603,-,antisense
bowtie_circ_004621,Pf3D7_04_v3,124430,124537,-,PF3D7_0402100,NA,Pf3D7_04_v3,123588,125464,-,sense
bowtie_circ_002920,Pf3D7_04_v3,131705,131917,-,PF3D7_0402200,NA,Pf3D7_04_v3,127712,134468,-,sense
bowtie_circ_001402,Pf3D7_04_v3,192469,192595,-,PF3D7_0403400,NA,Pf3D7_04_v3,182870,194712,+,antisense
bowtie_circ_002802,Pf3D7_04_v3,206757,207063,-,PF3D7_0403700,NA,Pf3D7_04_v3,206228,209394,-,sense
bowtie_circ_002924,Pf3D7_04_v3,221821,222011,+,PF3D7_0403900,NA,Pf3D7_04_v3,219087,222838,+,sense
bowtie_circ_003022,Pf3D7_04_v3,258441,258690,+,PF3D7_0404600,NA,Pf3D7_04_v3,247731,260147,+,sense
bowtie_circ_002154,Pf3D7_04_v3,262093,262464,-,PF3D7_0404700,NA,Pf3D7_04_v3,260454,263418,-,sense
bowtie_circ_005664,Pf3D7_04_v3,262606,262774,-,PF3D7_0404700,NA,Pf3D7_04_v3,260454,263418,-,sense
bowtie_circ_001781,Pf3D7_04_v3,318209,318563,-,PF3D7_0405900,NA,Pf3D7_04_v3,316540,319178,-,sense
bowtie_circ_003143,Pf3D7_04_v3,332568,333013,+,PF3D7_0406400,NA,Pf3D7_04_v3,332043,333856,+,sense
bowtie_circ_003612,Pf3D7_04_v3,333330,333441,+,PF3D7_0406400,NA,Pf3D7_04_v3,332043,333856,+,sense
bowtie_circ_005061,Pf3D7_04_v3,386278,386460,+,PF3D7_0407800,NA,Pf3D7_04_v3,384924,390806,+,sense
bowtie_circ_002298,Pf3D7_04_v3,386297,386411,+,PF3D7_0407800,NA,Pf3D7_04_v3,384924,390806,+,sense
bowtie_circ_005536,Pf3D7_04_v3,409052,409169,-,PF3D7_0408500,NA,Pf3D7_04_v3,408679,410697,-,sense
Pf3D7lncRNA_0297,Pf3D7_04_v3,418326,419022,+,PF3D7_0408700,NA,Pf3D7_04_v3,417372,420824,-,antisense
Pf3D7lncRNA_0298,Pf3D7_04_v3,429226,429829,+,PF3D7_0409000,NA,Pf3D7_04_v3,427664,435367,-,antisense
bowtie_circ_003242,Pf3D7_04_v3,492723,492891,-,PF3D7_0410900,NA,Pf3D7_04_v3,490442,493375,-,sense
bowtie_circ_003932,Pf3D7_04_v3,501141,501249,-,PF3D7_0411000,NA,Pf3D7_04_v3,499168,503880,+,antisense
Pf3D7lncRNA_0308,Pf3D7_04_v3,563394,563762,+,PF3D7_0412700,NA,Pf3D7_04_v3,561667,569342,-,antisense
bowtie_circ_003525,Pf3D7_04_v3,565305,565445,-,PF3D7_0412700,NA,Pf3D7_04_v3,561667,569342,-,sense
Pf3D7lncRNA_0310,Pf3D7_04_v3,578589,579115,+,PF3D7_0412900,NA,Pf3D7_04_v3,576810,584668,-,antisense
Pf3D7lncRNA_0312,Pf3D7_04_v3,593728,594254,+,PF3D7_0413100,NA,Pf3D7_04_v3,591949,599849,-,antisense
bowtie_circ_000837,Pf3D7_04_v3,615635,615767,+,PF3D7_0413500,NA,Pf3D7_04_v3,615356,616243,+,sense
bowtie_circ_005549,Pf3D7_04_v3,627832,628333,-,PF3D7_0414000,NA,Pf3D7_04_v3,626891,633126,-,sense
bowtie_circ_002585,Pf3D7_04_v3,629069,630234,-,PF3D7_0414000,NA,Pf3D7_04_v3,626891,633126,-,sense
bowtie_circ_000048,Pf3D7_04_v3,632535,632670,-,PF3D7_0414000,NA,Pf3D7_04_v3,626891,633126,-,sense
Pf3D7lncRNA_0318,Pf3D7_04_v3,650306,650707,+,PF3D7_0414300,NA,Pf3D7_04_v3,649893,650731,-,antisense
TCONS_00001240,Pf3D7_04_v3,655256,656323,+,PF3D7_0414500,NA,Pf3D7_04_v3,655025,657314,-,antisense
bowtie_circ_000087,Pf3D7_04_v3,666123,666892,+,PF3D7_0414900,NA,Pf3D7_04_v3,665973,668147,+,sense
bowtie_circ_001738,Pf3D7_04_v3,666592,667254,+,PF3D7_0414900,NA,Pf3D7_04_v3,665973,668147,+,sense
Pf3D7lncRNA_0320,Pf3D7_04_v3,666753,668009,-,PF3D7_0414900,NA,Pf3D7_04_v3,665973,668147,+,antisense
bowtie_circ_003453,Pf3D7_04_v3,701686,702568,-,PF3D7_0416000,NA,Pf3D7_04_v3,701526,704162,-,sense
bowtie_circ_000575,Pf3D7_04_v3,702147,702568,-,PF3D7_0416000,NA,Pf3D7_04_v3,701526,704162,-,sense
bowtie_circ_001374,Pf3D7_04_v3,707813,707924,+,PF3D7_0416100,NA,Pf3D7_04_v3,706529,709009,+,sense
bowtie_circ_005126,Pf3D7_04_v3,762504,762606,+,PF3D7_0417400,NA,Pf3D7_04_v3,756294,776603,+,sense
bowtie_circ_000945,Pf3D7_04_v3,765880,766031,+,PF3D7_0417400,NA,Pf3D7_04_v3,756294,776603,+,sense
bowtie_circ_002860,Pf3D7_04_v3,765884,766017,+,PF3D7_0417400,NA,Pf3D7_04_v3,756294,776603,+,sense
Pf3D7lncRNA_0329,Pf3D7_04_v3,784877,785368,-,PF3D7_0417700,NA,Pf3D7_04_v3,784194,786430,+,antisense
