lnc_id,Chr,Start,End,Strand
TCONS_00000224,Pf3D7_02_v3,827253,829095,+
TCONS_00000225,Pf3D7_02_v3,832384,833277,+
TCONS_00000226,Pf3D7_02_v3,835159,836041,+
TCONS_00000227,Pf3D7_02_v3,836956,837950,+
TCONS_00000231,Pf3D7_02_v3,853614,854252,+
TCONS_00000232,Pf3D7_02_v3,857503,858278,+
TCONS_00000234,Pf3D7_02_v3,866083,866616,+
TCONS_00000237,Pf3D7_02_v3,924616,925666,+
TCONS_00000239,Pf3D7_02_v3,940214,946554,+
TCONS_00000240,Pf3D7_02_v3,1139,7687,-
TCONS_00000247,Pf3D7_02_v3,59417,59824,-
TCONS_00000250,Pf3D7_02_v3,71261,72048,-
TCONS_00000264,Pf3D7_02_v3,106608,107084,-
TCONS_00000269,Pf3D7_02_v3,114303,116476,-
TCONS_00000270,Pf3D7_02_v3,118421,119338,-
TCONS_00000271,Pf3D7_02_v3,124340,126925,-
TCONS_00000281,Pf3D7_02_v3,190235,191474,-
TCONS_00000282,Pf3D7_02_v3,192229,192640,-
TCONS_00000286,Pf3D7_02_v3,208053,208589,-
TCONS_00000289,Pf3D7_02_v3,268130,269110,-
TCONS_00000293,Pf3D7_02_v3,279376,280375,-
TCONS_00000294,Pf3D7_02_v3,280513,281405,-
TCONS_00000318,Pf3D7_02_v3,434744,435007,-
TCONS_00000327,Pf3D7_02_v3,468953,469361,-
TCONS_00000328,Pf3D7_02_v3,481907,482636,-
TCONS_00000330,Pf3D7_02_v3,491516,491953,-
TCONS_00000339,Pf3D7_02_v3,576931,577286,-
TCONS_00000341,Pf3D7_02_v3,590844,592940,-
TCONS_00000343,Pf3D7_02_v3,631629,633085,-
TCONS_00000352,Pf3D7_02_v3,684206,684893,-
TCONS_00000353,Pf3D7_02_v3,700186,700935,-
TCONS_00000374,Pf3D7_02_v3,789527,790292,-
TCONS_00000375,Pf3D7_02_v3,793565,794618,-
TCONS_00000376,Pf3D7_02_v3,808190,809051,-
TCONS_00000380,Pf3D7_02_v3,811748,812495,-
TCONS_00000385,Pf3D7_02_v3,835919,836563,-
TCONS_00000386,Pf3D7_02_v3,836717,838253,-
TCONS_00000395,Pf3D7_03_v3,3605,5192,+
TCONS_00000396,Pf3D7_03_v3,10374,11497,+
TCONS_00000397,Pf3D7_03_v3,35081,36391,+
TCONS_00000403,Pf3D7_03_v3,98816,99667,+
TCONS_00000404,Pf3D7_03_v3,100538,101073,+
TCONS_00000405,Pf3D7_03_v3,101713,102966,+
TCONS_00000406,Pf3D7_03_v3,110489,111353,+
TCONS_00000407,Pf3D7_03_v3,132174,133404,+
TCONS_00000408,Pf3D7_03_v3,158110,159497,+
TCONS_00000410,Pf3D7_03_v3,203228,203679,+
TCONS_00000411,Pf3D7_03_v3,210550,211571,+
TCONS_00000414,Pf3D7_03_v3,221155,221977,+
TCONS_00000415,Pf3D7_03_v3,222105,222675,+
TCONS_00000416,Pf3D7_03_v3,248416,249750,+
TCONS_00000417,Pf3D7_03_v3,275282,275531,+
TCONS_00000419,Pf3D7_03_v3,305481,305807,+
TCONS_00000420,Pf3D7_03_v3,308828,309883,+
TCONS_00000423,Pf3D7_03_v3,395869,396755,+
TCONS_00000428,Pf3D7_03_v3,426149,426875,+
TCONS_00000434,Pf3D7_03_v3,479674,480021,+
TCONS_00000438,Pf3D7_03_v3,566184,566938,+
TCONS_00000440,Pf3D7_03_v3,582502,583145,+
TCONS_00000442,Pf3D7_03_v3,672508,672973,+
TCONS_00000453,Pf3D7_03_v3,766485,767216,+
TCONS_00000458,Pf3D7_03_v3,833697,834279,+
TCONS_00000459,Pf3D7_03_v3,835717,836270,+
TCONS_00000462,Pf3D7_03_v3,838646,839361,+
TCONS_00000465,Pf3D7_03_v3,867751,868687,+
TCONS_00000469,Pf3D7_03_v3,910726,911628,+
TCONS_00000471,Pf3D7_03_v3,947766,948291,+
TCONS_00000472,Pf3D7_03_v3,967634,967908,+
TCONS_00000477,Pf3D7_03_v3,994591,995382,+
TCONS_00000478,Pf3D7_03_v3,996103,997634,+
TCONS_00000479,Pf3D7_03_v3,1038895,1040360,+
TCONS_00000481,Pf3D7_03_v3,1057064,1063243,+
TCONS_00000483,Pf3D7_03_v3,3578,9126,-
TCONS_00000484,Pf3D7_03_v3,9807,11106,-
TCONS_00000485,Pf3D7_03_v3,35033,36193,-
TCONS_00000493,Pf3D7_03_v3,81314,81675,-
TCONS_00000500,Pf3D7_03_v3,90199,90855,-
TCONS_00000502,Pf3D7_03_v3,98538,99547,-
TCONS_00000503,Pf3D7_03_v3,101021,102974,-
TCONS_00000515,Pf3D7_03_v3,176716,177250,-
TCONS_00000522,Pf3D7_03_v3,202740,203596,-
TCONS_00000523,Pf3D7_03_v3,211023,211756,-
TCONS_00000530,Pf3D7_03_v3,248972,250357,-
TCONS_00000532,Pf3D7_03_v3,258712,259628,-
TCONS_00000542,Pf3D7_03_v3,296705,297726,-
TCONS_00000545,Pf3D7_03_v3,308566,310013,-
TCONS_00000549,Pf3D7_03_v3,371989,372234,-
TCONS_00000553,Pf3D7_03_v3,395628,396319,-
TCONS_00000557,Pf3D7_03_v3,441107,441677,-
TCONS_00000565,Pf3D7_03_v3,484051,484434,-
TCONS_00000566,Pf3D7_03_v3,484573,485815,-
TCONS_00000568,Pf3D7_03_v3,498015,498992,-
TCONS_00000571,Pf3D7_03_v3,523752,524118,-
TCONS_00000578,Pf3D7_03_v3,581687,583081,-
TCONS_00000580,Pf3D7_03_v3,595085,595630,-
TCONS_00000582,Pf3D7_03_v3,614603,615062,-
TCONS_00000590,Pf3D7_03_v3,672527,672989,-
TCONS_00000603,Pf3D7_03_v3,726684,727383,-
TCONS_00000604,Pf3D7_03_v3,746073,746578,-
TCONS_00000606,Pf3D7_03_v3,766499,767118,-
TCONS_00000608,Pf3D7_03_v3,786768,787417,-
TCONS_00000610,Pf3D7_03_v3,808174,809766,-
TCONS_00000611,Pf3D7_03_v3,835667,836441,-
TCONS_00000612,Pf3D7_03_v3,858291,859943,-
TCONS_00000613,Pf3D7_03_v3,868034,869622,-
TCONS_00000614,Pf3D7_03_v3,872834,873698,-
TCONS_00000615,Pf3D7_03_v3,873865,874387,-
TCONS_00000619,Pf3D7_03_v3,899991,900347,-
TCONS_00000626,Pf3D7_03_v3,941200,941840,-
TCONS_00000638,Pf3D7_03_v3,996674,997645,-
TCONS_00000644,Pf3D7_03_v3,1038716,1040393,-
TCONS_00000652,Pf3D7_04_v3,62887,64232,+
TCONS_00000653,Pf3D7_04_v3,80827,81261,+
TCONS_00000656,Pf3D7_04_v3,94553,97925,+
TCONS_00000657,Pf3D7_04_v3,106215,107294,+
TCONS_00000659,Pf3D7_04_v3,118061,118915,+
TCONS_00000661,Pf3D7_04_v3,150138,152894,+
TCONS_00000662,Pf3D7_04_v3,153930,154237,+
TCONS_00000666,Pf3D7_04_v3,165461,166163,+
TCONS_00000667,Pf3D7_04_v3,182107,182412,+
TCONS_00000668,Pf3D7_04_v3,194831,195049,+
TCONS_00000669,Pf3D7_04_v3,202680,203546,+
TCONS_00000671,Pf3D7_04_v3,217177,217499,+
TCONS_00000672,Pf3D7_04_v3,237889,240343,+
TCONS_00000676,Pf3D7_04_v3,245140,246214,+
TCONS_00000680,Pf3D7_04_v3,327032,328102,+
TCONS_00000686,Pf3D7_04_v3,395448,396556,+
TCONS_00000688,Pf3D7_04_v3,421331,423161,+
TCONS_00000692,Pf3D7_04_v3,478205,478524,+
TCONS_00000694,Pf3D7_04_v3,497867,498312,+
TCONS_00000701,Pf3D7_04_v3,571037,571937,+
TCONS_00000703,Pf3D7_04_v3,639502,640445,+
TCONS_00000708,Pf3D7_04_v3,696851,697292,+
TCONS_00000710,Pf3D7_04_v3,724832,725284,+
TCONS_00000714,Pf3D7_04_v3,827855,828521,+
TCONS_00000715,Pf3D7_04_v3,828685,829269,+
TCONS_00000720,Pf3D7_04_v3,914011,914826,+
TCONS_00000721,Pf3D7_04_v3,915345,917399,+
TCONS_00000722,Pf3D7_04_v3,980699,981396,+
TCONS_00000725,Pf3D7_04_v3,1019210,1021073,+
TCONS_00000727,Pf3D7_04_v3,1056536,1056762,+
TCONS_00000728,Pf3D7_04_v3,1057914,1058397,+
TCONS_00000729,Pf3D7_04_v3,1058517,1058839,+
TCONS_00000732,Pf3D7_04_v3,1078669,1079164,+
TCONS_00000733,Pf3D7_04_v3,1084900,1085553,+
TCONS_00000734,Pf3D7_04_v3,1098891,1099511,+
TCONS_00000735,Pf3D7_04_v3,1108231,1109826,+
TCONS_00000742,Pf3D7_04_v3,1142837,1143223,+
TCONS_00000748,Pf3D7_04_v3,1194786,1199684,+
TCONS_00000749,Pf3D7_04_v3,451,1754,-
TCONS_00000751,Pf3D7_04_v3,4720,6100,-
TCONS_00000758,Pf3D7_04_v3,80828,81264,-
TCONS_00000759,Pf3D7_04_v3,83927,84393,-
TCONS_00000763,Pf3D7_04_v3,94494,95242,-
TCONS_00000765,Pf3D7_04_v3,106458,106759,-
TCONS_00000775,Pf3D7_04_v3,113052,113420,-
TCONS_00000783,Pf3D7_04_v3,149609,153345,-
TCONS_00000786,Pf3D7_04_v3,165386,166459,-
TCONS_00000787,Pf3D7_04_v3,170519,172203,-
TCONS_00000792,Pf3D7_04_v3,202229,202558,-
TCONS_00000793,Pf3D7_04_v3,203033,204127,-
TCONS_00000798,Pf3D7_04_v3,216811,217962,-
TCONS_00000805,Pf3D7_04_v3,244990,245571,-
TCONS_00000813,Pf3D7_04_v3,288457,289869,-
TCONS_00000818,Pf3D7_04_v3,326562,327943,-
TCONS_00000823,Pf3D7_04_v3,365259,365683,-
TCONS_00000824,Pf3D7_04_v3,371598,372182,-
TCONS_00000829,Pf3D7_04_v3,395120,396539,-
TCONS_00000837,Pf3D7_04_v3,450754,451539,-
TCONS_00000840,Pf3D7_04_v3,467919,468214,-
TCONS_00000844,Pf3D7_04_v3,477253,477762,-
TCONS_00000846,Pf3D7_04_v3,494355,495816,-
TCONS_00000847,Pf3D7_04_v3,497978,498739,-
TCONS_00000859,Pf3D7_04_v3,604377,604862,-
TCONS_00000877,Pf3D7_04_v3,696851,697424,-
TCONS_00000878,Pf3D7_04_v3,705421,706263,-
TCONS_00000880,Pf3D7_04_v3,716249,716830,-
TCONS_00000884,Pf3D7_04_v3,746124,747372,-
TCONS_00000886,Pf3D7_04_v3,753878,754759,-
TCONS_00000891,Pf3D7_04_v3,825491,827362,-
TCONS_00000892,Pf3D7_04_v3,827657,829528,-
TCONS_00000893,Pf3D7_04_v3,832917,833488,-
TCONS_00000894,Pf3D7_04_v3,845417,845948,-
TCONS_00000897,Pf3D7_04_v3,868777,869771,-
TCONS_00000898,Pf3D7_04_v3,905202,906043,-
TCONS_00000899,Pf3D7_04_v3,913453,914033,-
TCONS_00000900,Pf3D7_04_v3,914151,916408,-
TCONS_00000912,Pf3D7_04_v3,1027779,1028512,-
TCONS_00000919,Pf3D7_04_v3,1074583,1075533,-
TCONS_00000921,Pf3D7_04_v3,1078665,1079166,-
TCONS_00000922,Pf3D7_04_v3,1079507,1080339,-
TCONS_00000926,Pf3D7_04_v3,1107253,1107756,-
TCONS_00000929,Pf3D7_04_v3,1132972,1134009,-
TCONS_00000935,Pf3D7_05_v3,29855,30999,+
TCONS_00000937,Pf3D7_05_v3,49844,51460,+
TCONS_00000939,Pf3D7_05_v3,52850,53652,+
TCONS_00000940,Pf3D7_05_v3,54342,55066,+
TCONS_00000941,Pf3D7_05_v3,60915,61975,+
TCONS_00000942,Pf3D7_05_v3,73445,74026,+
TCONS_00000944,Pf3D7_05_v3,83011,83440,+
TCONS_00000947,Pf3D7_05_v3,90118,90976,+
TCONS_00000948,Pf3D7_05_v3,108690,109553,+
TCONS_00000951,Pf3D7_05_v3,137472,138816,+
TCONS_00000952,Pf3D7_05_v3,247154,247768,+
TCONS_00000955,Pf3D7_05_v3,301034,301344,+
TCONS_00000956,Pf3D7_05_v3,319497,320460,+
TCONS_00000957,Pf3D7_05_v3,320691,321245,+
TCONS_00000959,Pf3D7_05_v3,340586,341357,+
TCONS_00000961,Pf3D7_05_v3,400053,400915,+
TCONS_00000962,Pf3D7_05_v3,408523,409183,+
TCONS_00000963,Pf3D7_05_v3,409355,409805,+
TCONS_00000964,Pf3D7_05_v3,435086,436046,+
TCONS_00000965,Pf3D7_05_v3,436444,436972,+
TCONS_00000967,Pf3D7_05_v3,451904,452794,+
TCONS_00000968,Pf3D7_05_v3,453131,453905,+
TCONS_00000969,Pf3D7_05_v3,457855,458949,+
TCONS_00000971,Pf3D7_05_v3,479420,481139,+
TCONS_00000980,Pf3D7_05_v3,580204,580742,+
TCONS_00000981,Pf3D7_05_v3,584847,585078,+
TCONS_00000984,Pf3D7_05_v3,709345,710009,+
TCONS_00000985,Pf3D7_05_v3,711055,711582,+
TCONS_00000986,Pf3D7_05_v3,711755,712089,+
TCONS_00000987,Pf3D7_05_v3,723307,724348,+
TCONS_00000988,Pf3D7_05_v3,726860,727600,+
TCONS_00000989,Pf3D7_05_v3,728503,729271,+
TCONS_00000990,Pf3D7_05_v3,729332,730486,+
TCONS_00000991,Pf3D7_05_v3,741530,742052,+
TCONS_00000992,Pf3D7_05_v3,767988,768587,+
TCONS_00000993,Pf3D7_05_v3,781412,782193,+
TCONS_00000994,Pf3D7_05_v3,782420,783351,+
TCONS_00000995,Pf3D7_05_v3,787033,787475,+
TCONS_00000997,Pf3D7_05_v3,800142,800507,+
TCONS_00001008,Pf3D7_05_v3,830207,830495,+
TCONS_00001012,Pf3D7_05_v3,947122,948116,+
TCONS_00001013,Pf3D7_05_v3,955983,956945,+
TCONS_00001014,Pf3D7_05_v3,971554,972432,+
TCONS_00001016,Pf3D7_05_v3,987109,988239,+
TCONS_00001017,Pf3D7_05_v3,1031043,1031813,+
TCONS_00001019,Pf3D7_05_v3,1032795,1033855,+
TCONS_00001020,Pf3D7_05_v3,1034757,1035377,+
TCONS_00001023,Pf3D7_05_v3,1054062,1054716,+
TCONS_00001024,Pf3D7_05_v3,1055026,1055750,+
TCONS_00001027,Pf3D7_05_v3,1095291,1095656,+
TCONS_00001028,Pf3D7_05_v3,1097377,1099205,+
TCONS_00001036,Pf3D7_05_v3,1190338,1191789,+
TCONS_00001037,Pf3D7_05_v3,1197903,1198476,+
TCONS_00001047,Pf3D7_05_v3,1286714,1287682,+
TCONS_00001050,Pf3D7_05_v3,1297011,1298442,+
TCONS_00001051,Pf3D7_05_v3,1298643,1300481,+
TCONS_00001053,Pf3D7_05_v3,1307281,1307598,+
TCONS_00001058,Pf3D7_05_v3,1321991,1323552,+
TCONS_00001061,Pf3D7_05_v3,1332593,1333184,+
TCONS_00001066,Pf3D7_05_v3,42170,42606,-
TCONS_00001067,Pf3D7_05_v3,48623,49409,-
TCONS_00001068,Pf3D7_05_v3,60942,63195,-
TCONS_00001070,Pf3D7_05_v3,66188,66798,-
TCONS_00001071,Pf3D7_05_v3,70409,71247,-
TCONS_00001072,Pf3D7_05_v3,72664,73214,-
TCONS_00001086,Pf3D7_05_v3,124356,124945,-
TCONS_00001087,Pf3D7_05_v3,136322,137465,-
TCONS_00001088,Pf3D7_05_v3,137641,138862,-
TCONS_00001089,Pf3D7_05_v3,138954,139304,-
TCONS_00001090,Pf3D7_05_v3,141564,141806,-
TCONS_00001102,Pf3D7_05_v3,293623,294076,-
TCONS_00001110,Pf3D7_05_v3,319625,320362,-
TCONS_00001112,Pf3D7_05_v3,340081,340904,-
TCONS_00001113,Pf3D7_05_v3,342622,343539,-
TCONS_00001116,Pf3D7_05_v3,399944,401038,-
TCONS_00001119,Pf3D7_05_v3,431956,434814,-
TCONS_00001123,Pf3D7_05_v3,453216,453823,-
TCONS_00001124,Pf3D7_05_v3,465110,466680,-
TCONS_00001129,Pf3D7_05_v3,524212,524617,-
TCONS_00001135,Pf3D7_05_v3,543073,543708,-
TCONS_00001138,Pf3D7_05_v3,558195,558457,-
TCONS_00001143,Pf3D7_05_v3,579481,580508,-
TCONS_00001150,Pf3D7_05_v3,661657,661983,-
TCONS_00001152,Pf3D7_05_v3,708308,708550,-
TCONS_00001153,Pf3D7_05_v3,708736,710388,-
TCONS_00001158,Pf3D7_05_v3,726470,727231,-
TCONS_00001159,Pf3D7_05_v3,727748,728476,-
TCONS_00001160,Pf3D7_05_v3,728594,729263,-
TCONS_00001161,Pf3D7_05_v3,738574,739156,-
TCONS_00001165,Pf3D7_05_v3,767655,768485,-
TCONS_00001167,Pf3D7_05_v3,781119,781794,-
TCONS_00001178,Pf3D7_05_v3,815221,815675,-
TCONS_00001202,Pf3D7_05_v3,953746,954935,-
TCONS_00001206,Pf3D7_05_v3,987392,988036,-
TCONS_00001209,Pf3D7_05_v3,995980,997474,-
TCONS_00001214,Pf3D7_05_v3,1025427,1026171,-
TCONS_00001215,Pf3D7_05_v3,1031987,1032363,-
TCONS_00001216,Pf3D7_05_v3,1033536,1034134,-
TCONS_00001217,Pf3D7_05_v3,1035144,1035754,-
TCONS_00001218,Pf3D7_05_v3,1039226,1039476,-
TCONS_00001219,Pf3D7_05_v3,1040059,1040695,-
TCONS_00001220,Pf3D7_05_v3,1055048,1055723,-
TCONS_00001230,Pf3D7_05_v3,1095945,1096866,-
TCONS_00001231,Pf3D7_05_v3,1097469,1098651,-
TCONS_00001232,Pf3D7_05_v3,1099503,1100158,-
TCONS_00001234,Pf3D7_05_v3,1128712,1129472,-
TCONS_00001239,Pf3D7_05_v3,1141306,1142090,-
TCONS_00001241,Pf3D7_05_v3,1152402,1153407,-
TCONS_00001253,Pf3D7_05_v3,1197900,1198455,-
TCONS_00001257,Pf3D7_05_v3,1228242,1228716,-
TCONS_00001262,Pf3D7_05_v3,1298887,1299790,-
TCONS_00001263,Pf3D7_05_v3,1305392,1306167,-
TCONS_00001268,Pf3D7_05_v3,1332329,1333096,-
TCONS_00001269,Pf3D7_06_v3,14754,16357,+
TCONS_00001282,Pf3D7_06_v3,76235,77388,+
TCONS_00001286,Pf3D7_06_v3,79235,79655,+
TCONS_00001287,Pf3D7_06_v3,89105,89752,+
TCONS_00001289,Pf3D7_06_v3,121317,122266,+
TCONS_00001291,Pf3D7_06_v3,177956,179940,+
TCONS_00001295,Pf3D7_06_v3,215346,217476,+
TCONS_00001297,Pf3D7_06_v3,249624,250204,+
TCONS_00001298,Pf3D7_06_v3,255642,256709,+
TCONS_00001299,Pf3D7_06_v3,280221,281148,+
TCONS_00001301,Pf3D7_06_v3,291928,292455,+
TCONS_00001305,Pf3D7_06_v3,364470,364674,+
TCONS_00001306,Pf3D7_06_v3,392171,393269,+
TCONS_00001307,Pf3D7_06_v3,395130,396061,+
TCONS_00001308,Pf3D7_06_v3,424133,425082,+
TCONS_00001309,Pf3D7_06_v3,437099,437638,+
TCONS_00001317,Pf3D7_06_v3,474965,475695,+
TCONS_00001318,Pf3D7_06_v3,490036,490427,+
TCONS_00001319,Pf3D7_06_v3,503621,504836,+
TCONS_00001324,Pf3D7_06_v3,529597,530419,+
TCONS_00001326,Pf3D7_06_v3,545654,546031,+
TCONS_00001327,Pf3D7_06_v3,563896,564663,+
TCONS_00001329,Pf3D7_06_v3,596398,597238,+
TCONS_00001330,Pf3D7_06_v3,602841,604217,+
TCONS_00001334,Pf3D7_06_v3,694526,695120,+
TCONS_00001335,Pf3D7_06_v3,706553,707620,+
TCONS_00001338,Pf3D7_06_v3,745482,746477,+
TCONS_00001340,Pf3D7_06_v3,749777,751637,+
TCONS_00001341,Pf3D7_06_v3,751946,752652,+
TCONS_00001345,Pf3D7_06_v3,773920,774396,+
TCONS_00001348,Pf3D7_06_v3,853330,854499,+
TCONS_00001350,Pf3D7_06_v3,870542,871029,+
TCONS_00001351,Pf3D7_06_v3,872770,873226,+
TCONS_00001357,Pf3D7_06_v3,932048,934494,+
TCONS_00001361,Pf3D7_06_v3,973606,975180,+
TCONS_00001362,Pf3D7_06_v3,975300,976591,+
TCONS_00001369,Pf3D7_06_v3,1019003,1019537,+
TCONS_00001370,Pf3D7_06_v3,1024820,1025177,+
TCONS_00001371,Pf3D7_06_v3,1037442,1038342,+
TCONS_00001374,Pf3D7_06_v3,1069147,1069582,+
TCONS_00001378,Pf3D7_06_v3,1099986,1100897,+
TCONS_00001379,Pf3D7_06_v3,1105836,1106667,+
TCONS_00001382,Pf3D7_06_v3,1154684,1155991,+
TCONS_00001385,Pf3D7_06_v3,1158952,1159573,+
TCONS_00001386,Pf3D7_06_v3,1169244,1169654,+
TCONS_00001387,Pf3D7_06_v3,1174396,1174795,+
TCONS_00001390,Pf3D7_06_v3,1204149,1204656,+
TCONS_00001394,Pf3D7_06_v3,1248343,1250010,+
TCONS_00001395,Pf3D7_06_v3,1257724,1258693,+
TCONS_00001398,Pf3D7_06_v3,1283813,1284483,+
TCONS_00001399,Pf3D7_06_v3,1293588,1295598,+
TCONS_00001400,Pf3D7_06_v3,1300212,1301491,+
TCONS_00001401,Pf3D7_06_v3,1303440,1304765,+
TCONS_00001402,Pf3D7_06_v3,1305744,1305975,+
TCONS_00001403,Pf3D7_06_v3,1307327,1307646,+
TCONS_00001405,Pf3D7_06_v3,1311694,1312858,+
TCONS_00001406,Pf3D7_06_v3,1383283,1384493,+
TCONS_00001407,Pf3D7_06_v3,1411004,1412123,+
TCONS_00001409,Pf3D7_06_v3,1414809,1416510,+
TCONS_00001413,Pf3D7_06_v3,53758,54745,-
TCONS_00001416,Pf3D7_06_v3,57017,57450,-
TCONS_00001417,Pf3D7_06_v3,62797,63278,-
TCONS_00001418,Pf3D7_06_v3,63691,64410,-
TCONS_00001422,Pf3D7_06_v3,79686,80992,-
TCONS_00001425,Pf3D7_06_v3,89024,89768,-
TCONS_00001431,Pf3D7_06_v3,121007,121497,-
TCONS_00001433,Pf3D7_06_v3,127607,128171,-
TCONS_00001435,Pf3D7_06_v3,137228,138472,-
TCONS_00001442,Pf3D7_06_v3,183983,184808,-
TCONS_00001447,Pf3D7_06_v3,247585,249257,-
TCONS_00001449,Pf3D7_06_v3,255765,256944,-
TCONS_00001453,Pf3D7_06_v3,280088,281269,-
TCONS_00001462,Pf3D7_06_v3,356370,357182,-
TCONS_00001463,Pf3D7_06_v3,390888,392107,-
TCONS_00001464,Pf3D7_06_v3,394959,395396,-
TCONS_00001465,Pf3D7_06_v3,395562,396048,-
TCONS_00001468,Pf3D7_06_v3,424764,425098,-
TCONS_00001471,Pf3D7_06_v3,446784,448120,-
TCONS_00001475,Pf3D7_06_v3,477221,478195,-
TCONS_00001482,Pf3D7_06_v3,502592,502913,-
TCONS_00001483,Pf3D7_06_v3,503630,504206,-
TCONS_00001493,Pf3D7_06_v3,545637,546030,-
TCONS_00001495,Pf3D7_06_v3,563489,563878,-
TCONS_00001496,Pf3D7_06_v3,563981,564806,-
TCONS_00001506,Pf3D7_06_v3,673114,673402,-
TCONS_00001507,Pf3D7_06_v3,683498,684018,-
TCONS_00001511,Pf3D7_06_v3,706537,707545,-
TCONS_00001513,Pf3D7_06_v3,735716,736906,-
TCONS_00001517,Pf3D7_06_v3,745714,746675,-
TCONS_00001520,Pf3D7_06_v3,750537,751691,-
TCONS_00001523,Pf3D7_06_v3,772818,773530,-
TCONS_00001528,Pf3D7_06_v3,843894,844933,-
