seqnames,start,end,width,strand,score,dominant_ctss.seqnames,dominant_ctss.pos,dominant_ctss.strand,dominant_ctss.score,nr_ctss,annotation,genes,q_0.1,q_0.9,interquantile_width
Pf3D7_05_v3,465776,465810,35,+,145.08251114561,Pf3D7_05_v3,465777,+,56.3996148291757,7,unknown,PF3D7_0510900,1,34,34
Pf3D7_05_v3,517954,517955,2,+,19.8706898793909,Pf3D7_05_v3,517955,+,11.7317948692646,2,unknown,,1,2,2
Pf3D7_05_v3,635677,635677,1,+,14.7916879297709,Pf3D7_05_v3,635677,+,14.7916879297709,1,unknown,,1,1,1
Pf3D7_05_v3,655768,655770,3,+,112.51904866069,Pf3D7_05_v3,655769,+,54.5465804479136,3,unknown,,2,3,2
Pf3D7_05_v3,713465,713523,59,+,775.380762035896,Pf3D7_05_v3,713470,+,135.046573427109,29,unknown,,4,58,55
Pf3D7_05_v3,713752,713807,56,+,694.161422828106,Pf3D7_05_v3,713752,+,128.600045796795,15,unknown,,1,54,54
Pf3D7_05_v3,716649,716672,24,+,146.478544917113,Pf3D7_05_v3,716671,+,35.0789635111721,13,unknown,,2,23,22
Pf3D7_05_v3,716791,716799,9,+,442.71393818663,Pf3D7_05_v3,716798,+,148.644107708607,9,unknown,,2,9,8
Pf3D7_05_v3,742633,742662,30,+,91.1730812186722,Pf3D7_05_v3,742634,+,31.2904245750414,7,unknown,,1,30,30
Pf3D7_05_v3,798027,798048,22,+,112.023900974941,Pf3D7_05_v3,798028,+,31.3433778430517,9,unknown,,1,21,21
Pf3D7_05_v3,799080,799084,5,+,55.1137574738547,Pf3D7_05_v3,799080,+,24.2676590019944,5,unknown,,1,5,5
Pf3D7_05_v3,828778,828861,84,+,368.807000280339,Pf3D7_05_v3,828778,+,48.7176150447051,28,unknown,,1,61,61
Pf3D7_05_v3,997561,997620,60,+,321.646135972301,Pf3D7_05_v3,997607,+,38.7357924235191,28,unknown,,5,55,51
Pf3D7_05_v3,1069381,1069399,19,+,281.156981895728,Pf3D7_05_v3,1069395,+,138.089293149694,8,unknown,,14,18,5
Pf3D7_05_v3,1121711,1121761,51,+,266.301895970135,Pf3D7_05_v3,1121713,+,56.0505636097112,22,unknown,,1,45,45
Pf3D7_05_v3,1122957,1123031,75,+,1076.71515916624,Pf3D7_05_v3,1122971,+,100.933681378169,56,unknown,,10,70,61
Pf3D7_05_v3,1156572,1156604,33,+,65.0308851459195,Pf3D7_05_v3,1156573,+,24.0640658333671,4,unknown,,1,33,33
Pf3D7_05_v3,1162022,1162072,51,+,53.3245476091331,Pf3D7_05_v3,1162072,+,18.4495807376901,5,unknown,,2,51,50
Pf3D7_05_v3,1222603,1222607,5,+,109.964259744432,Pf3D7_05_v3,1222604,+,43.8268660428481,5,unknown,,1,4,4
Pf3D7_05_v3,1289875,1289959,85,+,48.7242027910154,Pf3D7_05_v3,1289877,+,17.7629703290631,13,unknown,PF3D7_0531600,2,84,83
Pf3D7_05_v3,1290268,1290359,92,+,1246.61384053156,Pf3D7_05_v3,1290329,+,55.6303864523023,55,unknown,PF3D7_0531600,13,85,73
Pf3D7_05_v3,1291247,1291342,96,+,877.716704620112,Pf3D7_05_v3,1291305,+,48.4538902798256,83,unknown,PF3D7_0531600,16,92,77
Pf3D7_05_v3,1291446,1291536,91,+,200.516552406618,Pf3D7_05_v3,1291455,+,18.0312231952307,40,unknown,PF3D7_0531600,10,84,75
Pf3D7_05_v3,1292210,1292216,7,+,65.0889960444852,Pf3D7_05_v3,1292214,+,28.8455023860362,4,unknown,PF3D7_0531800;PF3D7_0531900,5,7,3
Pf3D7_05_v3,1292477,1292744,268,+,16403.9568652532,Pf3D7_05_v3,1292516,+,543.758251571417,268,unknown,PF3D7_0532000,29,254,226
Pf3D7_05_v3,1293136,1293225,90,+,2793.49110628885,Pf3D7_05_v3,1293222,+,119.509830148806,82,unknown,PF3D7_0532000,28,86,59
Pf3D7_05_v3,1293507,1293615,109,+,1285.54791276978,Pf3D7_05_v3,1293583,+,42.0694388970381,87,unknown,PF3D7_0532000,10,100,91
Pf3D7_05_v3,1293989,1294112,124,+,2543.18578624466,Pf3D7_05_v3,1294025,+,95.7776773209382,102,unknown,PF3D7_0532000,18,116,99
Pf3D7_05_v3,1295898,1295969,72,+,558.475610770055,Pf3D7_05_v3,1295929,+,24.4872191843946,52,unknown,PF3D7_0532000,6,70,65
Pf3D7_05_v3,1301059,1301109,51,+,306.076109714499,Pf3D7_05_v3,1301079,+,47.9003782246447,22,unknown,,20,40,21
Pf3D7_05_v3,55920,55923,4,-,28.9502738093036,Pf3D7_05_v3,55920,-,21.2266281822966,3,unknown,,1,3,3
Pf3D7_05_v3,67919,67922,4,-,69.5942658433302,Pf3D7_05_v3,67920,-,36.4535986961295,4,unknown,,2,4,3
Pf3D7_05_v3,68147,68149,3,-,41.9250441549284,Pf3D7_05_v3,68148,-,20.4437602842928,3,unknown,,1,3,3
Pf3D7_05_v3,82706,82759,54,-,70.0372856232818,Pf3D7_05_v3,82759,-,21.0986203443967,12,unknown,,2,54,53
Pf3D7_05_v3,139634,139636,3,-,38.7307708933888,Pf3D7_05_v3,139635,-,19.8536833504211,3,unknown,,1,3,3
Pf3D7_05_v3,140561,140571,11,-,67.2642462759835,Pf3D7_05_v3,140567,-,21.427896922144,7,unknown,,4,11,8
Pf3D7_05_v3,150444,150511,68,-,241.25893754133,Pf3D7_05_v3,150494,-,27.4736630647197,31,unknown,,40,62,23
Pf3D7_05_v3,321714,321719,6,-,47.4723470061973,Pf3D7_05_v3,321717,-,18.3907934882341,5,unknown,,2,4,3
Pf3D7_05_v3,409620,409622,3,-,55.6939702552483,Pf3D7_05_v3,409622,-,24.5889451938526,3,unknown,,1,3,3
Pf3D7_05_v3,465858,465935,78,-,177.524277726148,Pf3D7_05_v3,465935,-,47.5746755251512,12,unknown,,6,78,73
Pf3D7_05_v3,713855,713995,141,-,981.922038334196,Pf3D7_05_v3,713886,-,162.089386368023,49,unknown,,17,124,108
Pf3D7_05_v3,716802,716948,147,-,201.739041492468,Pf3D7_05_v3,716936,-,18.9291449752526,24,unknown,,4,140,137
Pf3D7_05_v3,753325,753330,6,-,40.7081745657169,Pf3D7_05_v3,753329,-,18.3725247346925,4,unknown,,1,6,6
Pf3D7_05_v3,817066,817103,38,-,63.4311386457277,Pf3D7_05_v3,817102,-,12.1322551735802,8,unknown,,5,38,34
Pf3D7_05_v3,828958,828993,36,-,326.209047841932,Pf3D7_05_v3,828992,-,54.8156360008904,15,unknown,,13,35,23
Pf3D7_05_v3,997711,997749,39,-,274.57921504862,Pf3D7_05_v3,997747,-,99.4925703227943,8,unknown,,36,38,3
Pf3D7_05_v3,1069525,1069595,71,-,304.134466218935,Pf3D7_05_v3,1069532,-,58.0861457084148,20,unknown,,6,29,24
Pf3D7_05_v3,1071479,1071481,3,-,45.9091639580147,Pf3D7_05_v3,1071480,-,24.4150410749428,3,unknown,,1,3,3
Pf3D7_05_v3,1079389,1079391,3,-,48.8350665786217,Pf3D7_05_v3,1079390,-,31.6892213379836,3,unknown,,1,3,3
Pf3D7_05_v3,1122138,1122183,46,-,244.922343664379,Pf3D7_05_v3,1122144,-,37.0171880525742,23,unknown,,3,43,41
Pf3D7_05_v3,1123123,1123231,109,-,982.925969851805,Pf3D7_05_v3,1123170,-,155.359101276481,26,unknown,,3,51,49
Pf3D7_05_v3,1143498,1143503,6,-,134.746055489653,Pf3D7_05_v3,1143500,-,39.3061185218125,6,unknown,,2,5,4
Pf3D7_05_v3,1290464,1290679,216,-,915.067736209249,Pf3D7_05_v3,1290465,-,209.689157356131,29,unknown,,2,87,86
Pf3D7_05_v3,1291236,1291536,301,-,690.078362872488,Pf3D7_05_v3,1291473,-,118.197858165791,50,unknown,,204,296,93
Pf3D7_05_v3,1291646,1291669,24,-,175.321902157698,Pf3D7_05_v3,1291647,-,29.2216572704969,14,unknown,,1,16,16
Pf3D7_05_v3,1292643,1292874,232,-,12749.0338494292,Pf3D7_05_v3,1292857,-,823.199766858163,141,unknown,,3,229,227
Pf3D7_05_v3,1293111,1293407,297,-,2457.81659879487,Pf3D7_05_v3,1293319,-,304.663598712163,87,unknown,,69,230,162
Pf3D7_05_v3,1293630,1293776,147,-,1051.93821994342,Pf3D7_05_v3,1293718,-,103.417741390708,57,unknown,,27,143,117
Pf3D7_05_v3,1294146,1294241,96,-,1965.14575119175,Pf3D7_05_v3,1294241,-,182.895871182637,52,unknown,,2,95,94
Pf3D7_05_v3,1294499,1294631,133,-,60.9912032302436,Pf3D7_05_v3,1294500,-,20.7412238160218,7,unknown,,2,132,131
Pf3D7_05_v3,1295291,1295291,1,-,17.2901423123701,Pf3D7_05_v3,1295291,-,17.2901423123701,1,unknown,,1,1,1
Pf3D7_05_v3,1295792,1295890,99,-,40.6543356979988,Pf3D7_05_v3,1295792,-,31.3200694771665,2,unknown,,1,99,99
Pf3D7_05_v3,1296036,1296117,82,-,467.619856756899,Pf3D7_05_v3,1296116,-,80.1003995556427,26,unknown,,3,81,79
Pf3D7_05_v3,1301235,1301290,56,-,305.250074974809,Pf3D7_05_v3,1301270,-,71.8457363847072,20,unknown,,3,55,53
Pf3D7_02_v3,127733,127827,95,+,455.299403700529,Pf3D7_02_v3,127745,+,72.595830768651,38,unknown,,13,85,73
Pf3D7_02_v3,128078,128261,184,+,423.982800562028,Pf3D7_02_v3,128099,+,48.9185129072091,46,unknown,PF3D7_0202500,19,139,121
Pf3D7_02_v3,276311,276374,64,+,141.311369028113,Pf3D7_02_v3,276370,+,25.8768886820059,13,unknown,,29,63,35
Pf3D7_02_v3,303805,303811,7,+,40.1884357345295,Pf3D7_02_v3,303806,+,17.6107948580418,4,unknown,,1,6,6
Pf3D7_02_v3,306712,306808,97,+,696.323737913273,Pf3D7_02_v3,306808,+,82.0120478441197,43,unknown,,45,97,53
Pf3D7_02_v3,307019,307105,87,+,81.5587983998188,Pf3D7_02_v3,307019,+,30.4934319439599,9,unknown,,1,66,66
Pf3D7_02_v3,311912,311923,12,+,19.3869790300144,Pf3D7_02_v3,311923,+,10.9585316338276,3,unknown,,1,12,12
Pf3D7_02_v3,325819,325824,6,+,84.9095501913059,Pf3D7_02_v3,325821,+,26.180088576283,6,unknown,,2,5,4
Pf3D7_02_v3,406619,406639,21,+,67.1793536481416,Pf3D7_02_v3,406619,+,20.452783079881,7,unknown,,1,20,20
Pf3D7_02_v3,409334,409510,177,+,177.502636907156,Pf3D7_02_v3,409510,+,22.0009022014985,18,unknown,,9,177,169
Pf3D7_02_v3,412086,412157,72,+,595.030198403775,Pf3D7_02_v3,412086,+,57.1406066609321,41,unknown,,2,67,66
Pf3D7_02_v3,522729,522771,43,+,347.38286234067,Pf3D7_02_v3,522748,+,27.5749437469309,29,unknown,,4,24,21
Pf3D7_02_v3,720304,720321,18,+,299.964471973861,Pf3D7_02_v3,720307,+,150.177869738911,6,unknown,,3,5,3
Pf3D7_02_v3,733730,733791,62,+,1338.71881100576,Pf3D7_02_v3,733748,+,152.351295091485,45,unknown,,6,56,51
Pf3D7_02_v3,767349,767399,51,+,152.21359067064,Pf3D7_02_v3,767396,+,39.6793592501753,9,unknown,,1,50,50
Pf3D7_02_v3,768189,768190,2,+,80.6934623330863,Pf3D7_02_v3,768189,+,54.5790765798475,2,unknown,,1,2,2
Pf3D7_02_v3,772130,772293,164,+,895.738528656101,Pf3D7_02_v3,772183,+,50.3796184348411,73,unknown,,8,154,147
Pf3D7_02_v3,810747,810769,23,+,43.6209667020517,Pf3D7_02_v3,810768,+,16.2933138077844,6,unknown,,1,23,23
Pf3D7_02_v3,838584,838625,42,+,156.22906631575,Pf3D7_02_v3,838586,+,22.4850253466538,22,unknown,,3,33,31
Pf3D7_02_v3,127935,128117,183,-,413.173168651652,Pf3D7_02_v3,127940,-,119.141130074584,20,unknown,,5,96,92
Pf3D7_02_v3,128226,128384,159,-,525.231340082792,Pf3D7_02_v3,128230,-,44.3245579544699,35,unknown,,2,157,156
Pf3D7_02_v3,223489,223508,20,-,52.9995514860716,Pf3D7_02_v3,223504,-,12.2610974244504,8,unknown,,1,20,20
Pf3D7_02_v3,268714,268793,80,-,518.655308522281,Pf3D7_02_v3,268774,-,81.6225987865757,23,unknown,,58,79,22
Pf3D7_02_v3,276474,276512,39,-,112.165785280503,Pf3D7_02_v3,276511,-,41.2783918935395,12,unknown,PF3D7_0206900,8,39,32
Pf3D7_02_v3,307037,307173,137,-,871.008792721217,Pf3D7_02_v3,307123,-,40.6724502867785,78,unknown,,25,96,72
Pf3D7_02_v3,350271,350315,45,-,138.509628231468,Pf3D7_02_v3,350314,-,40.5122336719551,10,unknown,,26,45,20
Pf3D7_02_v3,409524,409524,1,-,14.3554283695479,Pf3D7_02_v3,409524,-,14.3554283695479,1,unknown,,1,1,1
Pf3D7_02_v3,409681,409799,119,-,235.271640963143,Pf3D7_02_v3,409798,-,77.5498424355189,12,unknown,,68,118,51
Pf3D7_02_v3,412271,412299,29,-,358.593013688077,Pf3D7_02_v3,412297,-,60.0138262076429,22,unknown,,2,27,26
Pf3D7_02_v3,412493,412549,57,-,199.105514466319,Pf3D7_02_v3,412530,-,45.0332606106161,22,unknown,,14,55,42
Pf3D7_02_v3,412847,412885,39,-,99.293846672154,Pf3D7_02_v3,412848,-,31.7389533701521,7,unknown,,1,37,37
Pf3D7_02_v3,522874,522879,6,-,261.659580981414,Pf3D7_02_v3,522876,-,91.1408637183379,6,unknown,,3,6,4
Pf3D7_02_v3,566337,566338,2,-,36.3959067747186,Pf3D7_02_v3,566338,-,28.5939127221251,2,unknown,,1,2,2
Pf3D7_02_v3,704186,704190,5,-,58.7699764446506,Pf3D7_02_v3,704187,-,35.1152605287457,4,unknown,PF3D7_0217000,1,3,3
Pf3D7_02_v3,733892,733893,2,-,67.5625024011694,Pf3D7_02_v3,733893,-,48.8021270772064,2,unknown,,1,2,2
Pf3D7_02_v3,734293,734323,31,-,1019.0256647797,Pf3D7_02_v3,734298,-,220.164658916452,22,unknown,,4,28,25
Pf3D7_02_v3,768280,768317,38,-,195.129352166488,Pf3D7_02_v3,768284,-,30.7231396028746,14,unknown,,5,26,22
Pf3D7_02_v3,772319,772319,1,-,15.3831929362022,Pf3D7_02_v3,772319,-,15.3831929362022,1,unknown,,1,1,1
Pf3D7_02_v3,772520,772674,155,-,768.518965708999,Pf3D7_02_v3,772628,-,71.0181989157077,44,unknown,,5,124,120
Pf3D7_02_v3,797256,797307,52,-,53.9985988201834,Pf3D7_02_v3,797304,-,19.1109651420465,6,unknown,,2,52,51
Pf3D7_02_v3,797619,797667,49,-,35.8900968610619,Pf3D7_02_v3,797665,-,11.3176232049442,5,unknown,,46,49,4
Pf3D7_02_v3,799195,799197,3,-,70.7470673866349,Pf3D7_02_v3,799196,-,42.600670028329,3,unknown,,1,3,3
Pf3D7_02_v3,838730,838807,78,-,128.171789312306,Pf3D7_02_v3,838730,-,49.0648050356871,7,unknown,,1,77,77
Pf3D7_09_v3,111777,111779,3,+,102.109691678219,Pf3D7_09_v3,111778,+,64.3649198333778,3,unknown,,1,2,2
Pf3D7_09_v3,185656,185673,18,+,189.772633988189,Pf3D7_09_v3,185668,+,30.8639710153262,13,unknown,,9,17,9
Pf3D7_09_v3,189323,189324,2,+,23.3182037900628,Pf3D7_09_v3,189324,+,17.1798829725035,2,unknown,,1,2,2
Pf3D7_09_v3,249529,249531,3,+,84.6747009176261,Pf3D7_09_v3,249530,+,42.7304339832812,3,unknown,,2,3,2
Pf3D7_09_v3,275453,275455,3,+,52.8002374457076,Pf3D7_09_v3,275454,+,25.5156556162683,3,unknown,,1,3,3
Pf3D7_09_v3,322738,322740,3,+,45.8544184193509,Pf3D7_09_v3,322740,+,22.0759685515631,3,unknown,,1,3,3
Pf3D7_09_v3,358287,358290,4,+,79.3007280647711,Pf3D7_09_v3,358289,+,41.8097865807011,4,unknown,,2,4,3
Pf3D7_09_v3,372980,372981,2,+,16.9914709677793,Pf3D7_09_v3,372981,+,11.0708807064725,2,unknown,,1,2,2
Pf3D7_09_v3,422151,422154,4,+,22.0035954413822,Pf3D7_09_v3,422154,+,12.7058230251739,3,unknown,,1,4,4
Pf3D7_09_v3,539263,539384,122,+,165.149911190935,Pf3D7_09_v3,539312,+,21.1973163224072,15,unknown,,50,121,72
Pf3D7_09_v3,582886,582888,3,+,26.2679556430486,Pf3D7_09_v3,582886,+,15.1050918607084,3,unknown,,1,3,3
Pf3D7_09_v3,592046,592061,16,+,101.153850397128,Pf3D7_09_v3,592059,+,21.0453735932378,13,unknown,,5,16,12
Pf3D7_09_v3,611123,611124,2,+,27.2481031616329,Pf3D7_09_v3,611123,+,16.8188216675829,2,unknown,,1,2,2
Pf3D7_09_v3,697517,697569,53,+,43.0526804929039,Pf3D7_09_v3,697519,+,18.2889800470889,6,unknown,,2,53,52
Pf3D7_09_v3,700346,700389,44,+,304.417208090173,Pf3D7_09_v3,700386,+,83.9725444226633,11,unknown,,3,44,42
Pf3D7_09_v3,737816,737877,62,+,177.684548538406,Pf3D7_09_v3,737857,+,24.6806416317602,22,unknown,,15,57,43
Pf3D7_09_v3,752748,752752,5,+,176.200961089904,Pf3D7_09_v3,752750,+,91.6486848394777,5,unknown,,2,4,3
Pf3D7_09_v3,761286,761337,52,+,583.276915999476,Pf3D7_09_v3,761329,+,77.9158830124415,34,unknown,PF3D7_0918500,2,49,48
Pf3D7_09_v3,790582,790583,2,+,29.5983211040575,Pf3D7_09_v3,790583,+,19.345489992728,2,unknown,,1,2,2
Pf3D7_09_v3,840445,840515,71,+,153.115663977084,Pf3D7_09_v3,840463,+,16.2565748999827,21,unknown,,8,35,28
Pf3D7_09_v3,1030992,1031004,13,+,163.765204814266,Pf3D7_09_v3,1030994,+,58.4945692882819,7,unknown,,1,8,8
Pf3D7_09_v3,1031436,1031442,7,+,59.1274349985313,Pf3D7_09_v3,1031436,+,21.9088722157601,6,unknown,,1,6,6
Pf3D7_09_v3,1200279,1200291,13,+,38.7095180872419,Pf3D7_09_v3,1200280,+,12.6414922409153,6,unknown,,1,13,13
Pf3D7_09_v3,1201498,1201569,72,+,112.089795968215,Pf3D7_09_v3,1201498,+,25.5178585973198,12,unknown,,1,62,62
Pf3D7_09_v3,1253369,1253371,3,+,32.6388342387732,Pf3D7_09_v3,1253371,+,14.9657507078622,3,unknown,,1,3,3
Pf3D7_09_v3,1254136,1254204,69,+,95.3016762869755,Pf3D7_09_v3,1254145,+,20.7474472699718,11,unknown,,1,21,21
Pf3D7_09_v3,1286447,1286528,82,+,314.227939221518,Pf3D7_09_v3,1286447,+,38.5346338314326,30,unknown,,1,74,74
Pf3D7_09_v3,1286694,1286877,184,+,134.373925152914,Pf3D7_09_v3,1286876,+,18.4210826267819,19,unknown,,44,183,140
Pf3D7_09_v3,1297987,1297989,3,+,56.4005901576778,Pf3D7_09_v3,1297988,+,28.8434938592693,3,unknown,,1,3,3
Pf3D7_09_v3,1329743,1329757,15,+,33.7724044395373,Pf3D7_09_v3,1329743,+,17.5828544560936,3,unknown,,1,15,15
Pf3D7_09_v3,1372342,1372345,4,+,57.8623079469728,Pf3D7_09_v3,1372342,+,23.0791781335921,4,unknown,,1,4,4
Pf3D7_09_v3,1399759,1399762,4,+,92.6372502834993,Pf3D7_09_v3,1399760,+,47.2765872957127,4,unknown,,1,3,3
Pf3D7_09_v3,1413261,1413308,48,+,180.301829064706,Pf3D7_09_v3,1413261,+,14.2733864637622,29,unknown,,2,45,44
Pf3D7_09_v3,1422029,1422192,164,+,149.191934899052,Pf3D7_09_v3,1422144,+,19.659364978811,25,unknown,,11,153,143
Pf3D7_09_v3,1423737,1423740,4,+,74.6367095227774,Pf3D7_09_v3,1423740,+,38.0180693531897,3,unknown,,3,4,2
Pf3D7_09_v3,1427456,1427459,4,+,39.0722116674826,Pf3D7_09_v3,1427458,+,19.2180301444648,4,unknown,,2,4,3
Pf3D7_09_v3,1428395,1428400,6,+,79.4479282062623,Pf3D7_09_v3,1428398,+,39.6438238157354,6,unknown,,1,5,5
Pf3D7_09_v3,1429499,1429503,5,+,159.900611546715,Pf3D7_09_v3,1429499,+,63.2904964181364,5,unknown,,1,4,4
Pf3D7_09_v3,111898,111913,16,-,107.197657504027,Pf3D7_09_v3,111904,-,21.0767239515088,12,unknown,,6,16,11
Pf3D7_09_v3,185827,185864,38,-,328.20536114088,Pf3D7_09_v3,185864,-,63.2038382719682,11,unknown,,3,38,36
Pf3D7_09_v3,209419,209420,2,-,35.340302529429,Pf3D7_09_v3,209420,-,22.1368048811199,2,unknown,,1,2,2
Pf3D7_09_v3,335196,335241,46,-,93.4752321309948,Pf3D7_09_v3,335227,-,39.7704556725695,8,unknown,,30,45,16
Pf3D7_09_v3,344472,344501,30,-,54.2160058641863,Pf3D7_09_v3,344494,-,14.8059043471276,9,unknown,,1,29,29
Pf3D7_09_v3,358476,358486,11,-,46.8612989154989,Pf3D7_09_v3,358481,-,12.757135856261,8,unknown,,1,9,9
Pf3D7_09_v3,592192,592202,11,-,53.4774076396934,Pf3D7_09_v3,592202,-,22.6391350110887,5,unknown,,5,11,7
